country,hs_code,hs_desc,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac,anomaly_score_weight_kg,is_anomaly_weight_kg,zscore_weight_kg,is_significant_weight_kg,metric
CHINA,7217,Wire of iron or non-alloy steel,4761493.0,4761493.0,3578790.0,33.04756635622655,1.1820689858461852,6.0,6.0,130.0,-95.3846153846154,0.0526292706460242,3,3,28.0,-89.28571428571429,0.0612119975515201,6,6,128.0,-95.3125,0.0859352621025494,1,1,0.0,100.0,0.0648929266709928,-0.6713775086236342,-1,0.8006108109818286,False,weight_kg
NICARAGUA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",5225167.04,5225167.04,6865058.8,-23.88751222349326,1.2971788268615985,8.0,8.0,32.0,-75.0,0.0701723608613657,7,7,15.0,-53.333333333333336,0.1428279942868802,8,8,32.0,-75.0,0.1145803494700658,6,6,6.0,0.0,0.3893575600259572,-0.6612801164043459,-1,0.3004127338863329,False,weight_kg
GUATEMALA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",7739668.0,7739668.0,49233844.62,-84.2797813988795,1.9214186608162969,144.0,144.0,1420.5,-89.86272439281943,1.263102495504583,16,16,118.0,-86.44067796610169,0.3264639869414405,105,105,889.0,-88.18897637795276,1.503867086794615,5,5,30.0,-83.33333333333333,0.3244646333549643,-0.6577576321769595,-1,0.23015818419301554,False,weight_kg
DOMINICAN REPUBLIC,2711,Petroleum gases and other gaseous hydrocarbons,7653941.9,7653941.9,58239986.0,-86.85792627079272,1.9001366461020996,0.0,0.0,0.0,0.0,0.0,9,9,74.0,-87.83783783783784,0.1836359926545603,0,0,0.0,0.0,0.0,9,9,74.0,-87.83783783783784,0.5840363400389358,-0.6533410267779556,-1,0.2528082470290392,False,weight_kg
DOMINICAN REPUBLIC,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",7500000.0,7500000.0,117183967.0,-93.59980704527608,1.861919652900128,0.0,0.0,0.0,0.0,0.0,1,1,15.0,-93.33333333333331,0.02040399918384,0,0,0.0,0.0,0.0,1,1,15.0,-93.33333333333331,0.0648929266709928,-0.6527183497588626,-1,0.31203844190234303,False,weight_kg
NETHERLANDS,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",9225.7,9225.7,1747.0,428.0881511161992,0.0022903349522347,2.0,2.0,1.0,100.0,0.0175430902153414,1,1,1.0,0.0,0.02040399918384,1,1,1.0,0.0,0.0143225436837582,0,0,0.0,0.0,0.0,-0.6505001444671535,-1,4.271204789260851,True,weight_kg
USA,207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",7077394.05,7077394.05,55873014.78,-87.33307290135097,1.757005209735124,518.0,518.0,4215.25,-87.71128640056936,4.543660365773431,130,130,1168.0,-88.86986301369863,2.6525198938992043,259,259,2069.0,-87.4818753020783,3.709538814093383,0,0,1.0,-100.0,0.0,-0.6445450625830904,-1,0.25698260555935837,False,weight_kg
PAKISTAN,1006,Rice,6470495.2,6470495.2,104702181.5,-93.8200951429078,1.6063389569167923,248.0,248.0,643.0,-61.4307931570762,2.175343186702338,7,7,73.0,-90.4109589041096,0.1428279942868802,248,248,605.0,-59.00826446280992,3.5519908335720425,0,0,48.0,-100.0,0.0,-0.6361830557488736,-1,0.3139737634227679,False,weight_kg
NETHERLAND ANTILLES,2709,Petroleum oils and oils obtained from bituminous minerals; crude,6264943.0,6264943.0,28892263.0,-78.31619143159537,1.5553093994665448,0.0,0.0,0.0,0.0,0.0,2,2,8.0,-75.0,0.04080799836768,0,0,0.0,0.0,0.0,2,2,8.0,-75.0,0.1297858533419857,-0.6348723887676895,-1,0.1777655940950711,False,weight_kg
INDONESIA,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",5324995.67,5324995.67,82273743.78000003,-93.5277095397056,1.3219618786108112,211.0,211.0,1004.0,-78.98406374501992,1.8507960177185208,21,21,178.0,-88.20224719101124,0.4284839828606407,211,211,897.0,-76.47714604236343,3.022056717272988,0,0,76.0,-100.0,0.0,-0.6204595399476484,-1,0.31140503566932554,False,weight_kg
CHINA,2827,Chlorides; chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides,225892.8,225892.8,72160.0,213.0443458980044,0.056079232502485,16.0,16.0,5.0,220.0,0.1403447217227314,1,1,3.0,-66.66666666666667,0.02040399918384,8,8,3.0,166.66666666666666,0.1145803494700658,0,0,0.0,0.0,0.0,-0.6042259722247216,-1,2.381956534148164,False,weight_kg
INDIA,3204,Synthetic organic colouring matter and preparations based thereon; synthetic organic products used as fluorescent brightening agents or as luminophores; whether or not chemically defined,3265423.0,3265423.0,7581402.1,-56.92850798666911,0.8106607011642792,135.0,135.0,321.0,-57.94392523364486,1.1841585895355466,12,12,39.0,-69.23076923076923,0.2448479902060804,135,135,321.0,-57.94392523364486,1.9335433973073617,0,0,0.0,0.0,0.0,-0.6029016824286866,-1,0.010133999609712582,False,weight_kg
USA,2815,Sodium hydroxide (caustic soda); potassium hydroxide (caustic potash) peroxides of sodium or potassium,2000817.0,2000817.0,1823368.0,9.731935626818064,0.4967147325542234,0.0,0.0,0.0,0.0,0.0,2,2,2.0,0.0,0.04080799836768,0,0,0.0,0.0,0.0,2,2,2.0,0.0,0.1297858533419857,-0.6011568115355168,-1,0.595773407608631,False,weight_kg
CHINA,9999,Commodities not specified according to kind,4611995.97,4611995.97,55689580.19,-91.71838617877002,1.1449554580852253,487.0,487.0,5640.5,-91.36601365127206,4.271742467435638,215,215,2092.0,-89.72275334608031,4.386859824525607,259,259,2927.0,-91.15134950461224,3.709538814093383,0,0,1.0,-100.0,0.0,-0.6000716693008121,-1,0.2955093859475685,False,weight_kg
USA,2106,Food preparations not elsewhere specified or included,3877598.17,3877598.17,52310479.51,-92.58733965675324,0.9626368318363429,277.5,277.5,3986.75,-93.03944315545245,2.434103767378624,60,60,1108.0,-94.58483754512636,1.224239951030402,216,216,2550.0,-91.52941176470588,3.093669435691779,1,1,14.0,-92.85714285714286,0.0648929266709928,-0.5946625402459437,-1,0.3031434995663644,False,weight_kg
INDIA,1006,Rice,4230000.12,4230000.12,21067970.49,-79.9221281328081,1.050122714026387,170.0,170.0,940.0,-81.91489361702128,1.4911626683040218,20,20,93.0,-78.49462365591398,0.4080799836768006,162,162,810.0,-80.0,2.320252076768834,0,0,0.0,0.0,0.0,-0.5943357786850939,-1,0.19187440837832423,False,weight_kg
BRAZIL,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",3218902.94,3218902.94,12615321.04,-74.48417737611535,0.7991118193018668,121.0,121.0,496.0,-75.60483870967742,1.0613569580281563,22,22,77.0,-71.42857142857143,0.4488879820444807,121,121,474.0,-74.47257383966245,1.7330277857347465,0,0,0.0,0.0,0.0,-0.5829043874011044,-1,0.14409977488889958,False,weight_kg
CHINA,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars; side-cars",3072409.84,3072409.84,12769939.33,-75.94029415016806,0.7627440350479651,410.0,410.0,1486.0,-72.40915208613728,3.596333494144994,106,106,452.0,-76.54867256637168,2.1628239134870437,182,182,706.0,-74.22096317280453,2.606702950443999,0,0,21.0,-100.0,0.0,-0.5738983194902232,-1,0.15689235950591798,False,weight_kg
CHINA,712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",16640.0,16640.0,4400.0,278.1818181818182,0.004130979069901,1.0,1.0,1.0,0.0,0.0087715451076707,1,1,1.0,0.0,0.02040399918384,1,1,1.0,0.0,0.0143225436837582,0,0,0.0,0.0,0.0,-0.5731386588239077,-1,2.9542160127682626,True,weight_kg
PERU,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2480440.0,2480440.0,37587960.05,-93.40097202215686,0.6157839978452792,116.0,116.0,1741.0,-93.33716255025848,1.0174992324898031,21,21,300.0,-93.0,0.4284839828606407,116,116,1737.0,-93.321819228555,1.6614150673159551,0,0,0.0,0.0,0.0,-0.5727743296785629,-1,0.31029159446304055,False,weight_kg
MEXICO,9619,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material",24761.0,24761.0,6795.0,264.40029433406914,0.0061470656700613,4.0,4.0,4.0,0.0,0.0350861804306828,1,1,1.0,0.0,0.02040399918384,2,2,1.0,100.0,0.0286450873675164,0,0,0.0,0.0,0.0,-0.5627500177903456,-1,2.8331396587866378,True,weight_kg
INDIA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",2575554.23,2575554.23,13460891.51,-80.86639188729336,0.6393966717262741,100.0,100.0,486.0,-79.42386831275721,0.8771545107670716,15,15,81.0,-81.48148148148148,0.3060599877576005,93,93,484.0,-80.78512396694215,1.3319965625895158,0,0,0.0,0.0,0.0,-0.555991341136532,-1,0.2001701537438666,False,weight_kg
