country,metric,current_value,prior_value,yoy_pct,share_current,share_prior,share_change_pp
ARGENTINA,weight_kg,167916.95,275826.02,-39.12,0.04,0.1,-0.06
HONDURAS,shipment,3.0,0.0,0.0,0.06,0.0,0.06
HONG KONG,shipment,3.0,0.0,0.0,0.06,0.0,0.06
MOROCCO,shipment,2.0,3.0,-33.33,0.04,0.1,-0.06
NETHERLAND ANTILLES,shipment,3.0,0.0,0.0,0.06,0.0,0.06
SOUTH AFRICA,shipment,3.0,0.0,0.0,0.06,0.0,0.06
GUATEMALA,container,128.0,79.0,62.03,1.83,1.77,0.06
OMAN,container,4.0,0.0,0.0,0.06,0.0,0.06
POLAND,container,18.0,9.0,100.0,0.26,0.2,0.06
TRINIDAD AND TOBAGO,container,40.0,28.0,42.86,0.57,0.63,-0.06
GERMANY,vrac,1.0,0.0,0.0,0.06,0.0,0.06
TURKEY,vrac,3.0,1.0,200.0,0.19,0.13,0.06
SPAIN,weight_kg,889669.82,499907.73,77.97,0.22,0.17,0.05
HONDURAS,teu,6.0,0.0,0.0,0.05,0.0,0.05
HONG KONG,teu,6.0,0.0,0.0,0.05,0.0,0.05
SOUTH AFRICA,teu,6.0,0.0,0.0,0.05,0.0,0.05
DENMARK,shipment,1.0,2.0,-50.0,0.02,0.07,-0.05
GUATEMALA,shipment,25.0,14.0,78.57,0.51,0.46,0.05
CHILE,container,5.0,1.0,400.0,0.07,0.02,0.05
SENEGAL,weight_kg,274126.0,84034.0,226.21,0.07,0.03,0.04
UNITED ARAB EMIRATES,weight_kg,341028.3,112724.0,202.53,0.08,0.04,0.04
GERMANY,teu,11.0,10.5,4.76,0.1,0.14,-0.04
ISRAEL,teu,4.0,0.0,0.0,0.04,0.0,0.04
NETHERLAND ANTILLES,teu,4.0,0.0,0.0,0.04,0.0,0.04
QATAR,teu,4.0,0.0,0.0,0.04,0.0,0.04
EGYPT,shipment,23.0,13.0,76.92,0.47,0.43,0.04
GUADELOUPE,shipment,2.0,0.0,0.0,0.04,0.0,0.04
SINGAPORE,shipment,2.0,0.0,0.0,0.04,0.0,0.04
GERMANY,container,5.0,5.0,0.0,0.07,0.11,-0.04
HONDURAS,container,3.0,0.0,0.0,0.04,0.0,0.04
HONG KONG,container,3.0,0.0,0.0,0.04,0.0,0.04
SOUTH AFRICA,container,3.0,0.0,0.0,0.04,0.0,0.04
CHILE,weight_kg,114447.95,7000.0,1534.97,0.03,0.0,0.03
GERMANY,weight_kg,97157.63,134293.8,-27.65,0.02,0.05,-0.03
MEXICO,weight_kg,322946.93999999994,129722.7,148.95,0.08,0.05,0.03
POLAND,weight_kg,486784.55,252502.0,92.78,0.12,0.09,0.03
CHILE,teu,7.25,2.0,262.5,0.06,0.03,0.03
DENMARK,teu,1.0,3.0,-66.67,0.01,0.04,-0.03
GUADELOUPE,teu,3.0,0.0,0.0,0.03,0.0,0.03
SINGAPORE,teu,3.0,0.0,0.0,0.03,0.0,0.03
CHILE,shipment,3.0,1.0,200.0,0.06,0.03,0.03
TAIWAN,shipment,5.0,4.0,25.0,0.1,0.13,-0.03
DENMARK,container,1.0,2.0,-50.0,0.01,0.04,-0.03
GUADELOUPE,container,2.0,0.0,0.0,0.03,0.0,0.03
ISRAEL,container,2.0,0.0,0.0,0.03,0.0,0.03
LATVIA,container,2.0,0.0,0.0,0.03,0.0,0.03
QATAR,container,2.0,0.0,0.0,0.03,0.0,0.03
SINGAPORE,container,2.0,0.0,0.0,0.03,0.0,0.03
SOUTH KOREA,container,30.0,18.0,66.67,0.43,0.4,0.03
JAPAN,weight_kg,166848.6,45470.0,266.94,0.04,0.02,0.02
OMAN,weight_kg,88839.8,0.0,0.0,0.02,0.0,0.02
SOUTH AFRICA,weight_kg,70780.0,0.0,0.0,0.02,0.0,0.02
UNITED KINGDOM,weight_kg,86993.0,0.0,0.0,0.02,0.0,0.02
ESTONIA,teu,2.0,0.0,0.0,0.02,0.0,0.02
GHANA,teu,2.25,0.0,0.0,0.02,0.0,0.02
IRELAND,teu,8.5,4.0,112.5,0.07,0.05,0.02
LATVIA,teu,2.0,0.0,0.0,0.02,0.0,0.02
PORTUGAL,teu,2.0,0.0,0.0,0.02,0.0,0.02
SLOVENIA,teu,2.0,0.0,0.0,0.02,0.0,0.02
TOGO,teu,2.0,0.0,0.0,0.02,0.0,0.02
BANGLADESH,shipment,1.0,0.0,0.0,0.02,0.0,0.02
CAMBODIA,shipment,1.0,0.0,0.0,0.02,0.0,0.02
ECUADOR,shipment,1.0,0.0,0.0,0.02,0.0,0.02
ESTONIA,shipment,1.0,0.0,0.0,0.02,0.0,0.02
GHANA,shipment,1.0,0.0,0.0,0.02,0.0,0.02
ISRAEL,shipment,1.0,0.0,0.0,0.02,0.0,0.02
JAMAICA,shipment,1.0,0.0,0.0,0.02,0.0,0.02
LATVIA,shipment,1.0,0.0,0.0,0.02,0.0,0.02
LEBANON,shipment,1.0,0.0,0.0,0.02,0.0,0.02
OMAN,shipment,1.0,0.0,0.0,0.02,0.0,0.02
PORTUGAL,shipment,1.0,0.0,0.0,0.02,0.0,0.02
QATAR,shipment,1.0,0.0,0.0,0.02,0.0,0.02
SAUDI ARABIA,shipment,1.0,0.0,0.0,0.02,0.0,0.02
SLOVENIA,shipment,1.0,0.0,0.0,0.02,0.0,0.02
TOGO,shipment,1.0,0.0,0.0,0.02,0.0,0.02
IRELAND,container,4.0,2.0,100.0,0.06,0.04,0.02
DENMARK,weight_kg,8560.0,23327.0,-63.3,0.0,0.01,-0.01
ECUADOR,weight_kg,23993.0,0.0,0.0,0.01,0.0,0.01
ESTONIA,weight_kg,27040.0,0.0,0.0,0.01,0.0,0.01
GHANA,weight_kg,24820.0,0.0,0.0,0.01,0.0,0.01
GUADELOUPE,weight_kg,35000.0,0.0,0.0,0.01,0.0,0.01
HONDURAS,weight_kg,35242.04,0.0,0.0,0.01,0.0,0.01
HONG KONG,weight_kg,47656.87,0.0,0.0,0.01,0.0,0.01
IRELAND,weight_kg,104087.23,53440.0,94.77,0.03,0.02,0.01
ISRAEL,weight_kg,26260.7,0.0,0.0,0.01,0.0,0.01
LEBANON,weight_kg,20889.0,0.0,0.0,0.01,0.0,0.01
PORTUGAL,weight_kg,25780.8,0.0,0.0,0.01,0.0,0.01
SAUDI ARABIA,weight_kg,20310.0,0.0,0.0,0.01,0.0,0.01
SLOVENIA,weight_kg,23874.0,0.0,0.0,0.01,0.0,0.01
SOUTH KOREA,weight_kg,534190.64,332256.12,60.78,0.13,0.12,0.01
TOGO,weight_kg,28000.0,0.0,0.0,0.01,0.0,0.01
TRINIDAD AND TOBAGO,weight_kg,704697.99,461480.0,52.7,0.17,0.16,0.01
BANGLADESH,teu,1.0,0.0,0.0,0.01,0.0,0.01
CAMBODIA,teu,1.0,0.0,0.0,0.01,0.0,0.01
DOMINICAN REPUBLIC,teu,201.0,135.0,48.89,1.76,1.77,-0.01
ECUADOR,teu,1.0,0.0,0.0,0.01,0.0,0.01
JAMAICA,teu,1.0,0.0,0.0,0.01,0.0,0.01
JAPAN,teu,28.25,18.0,56.94,0.25,0.24,0.01
LEBANON,teu,1.0,0.0,0.0,0.01,0.0,0.01
PUERTO RICO,teu,2.0,1.0,100.0,0.02,0.01,0.01
SAUDI ARABIA,teu,1.0,0.0,0.0,0.01,0.0,0.01
GERMANY,shipment,6.0,4.0,50.0,0.12,0.13,-0.01
