country,hs_code,hs_description,metric,current_value,prior_value,yoy_pct,abs_delta,is_ath
INDIA,2208,"Ethyl alcohol, undenatured; of an alcoholic strength by volume of less than 80% volume; spirits, liq",weight_kg,28050.0,358568.24,-92.18,330518.24,False
CHINA,6405,Footwear; other footwear n.e.c. in chapter 64,weight_kg,827851.0,517028.0,60.12,310823.0,True
SPAIN,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments,",weight_kg,289680.04000000004,0.0,0.0,289680.04000000004,True
SPAIN,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,43320.0,332365.15,-86.97,289045.15,False
BRAZIL,4421,Wooden articles n.e.c. in heading no. 4414 to 4420,weight_kg,286464.0,0.0,0.0,286464.0,True
EGYPT,4818,"Toilet paper, width 36cm or less or cut to size/shape; handkerchiefs, tissues, towels, serviettes, b",weight_kg,285261.96,0.0,0.0,285261.96,True
BELGIUM,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gal",weight_kg,336780.0,57620.0,484.48,279160.0,False
USA,1007,Grain sorghum,weight_kg,269745.0,0.0,0.0,269745.0,True
CHINA,7313,"Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not and loosely twisted do",weight_kg,256916.0,0.0,0.0,256916.0,True
PANAMA,7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the c",weight_kg,256377.0,0.0,0.0,256377.0,True
CHINA,3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces",weight_kg,284004.6,27736.8,923.93,256267.8,False
CHINA,7321,"Stoves, ranges, grates, cookers (those with subsidiary boilers for central heating), barbecues, braz",weight_kg,351681.3,103780.55,238.87,247900.75,True
BELGIUM,0203,"Meat of swine; fresh, chilled or frozen",weight_kg,258191.47,27570.0,836.49,230621.47,True
CHINA,2827,Chlorides; chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide ,weight_kg,225892.8,0.0,0.0,225892.8,True
EGYPT,2839,Silicates; commercial alkali metal silicates,weight_kg,224480.0,0.0,0.0,224480.0,True
CHINA,0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",weight_kg,361477.78,140000.0,158.2,221477.78000000003,True
POLAND,0203,"Meat of swine; fresh, chilled or frozen",weight_kg,445827.55,226902.0,96.48,218925.55,False
EGYPT,2836,Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carb,weight_kg,218400.0,0.0,0.0,218400.0,True
CHINA,3306,Oral or dental hygiene preparations; including fixative pastes and powders; yarn used to clean betwe,weight_kg,442022.8,225500.8,96.02,216522.0,True
ITALY,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gal",weight_kg,261690.0,54980.0,375.97,206710.0,True
INDIA,3004,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products f",weight_kg,243947.18,40481.06,502.62,203466.12,True
BELGIUM,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",weight_kg,232448.0,29056.0,700.0,203392.0,False
NETHERLANDS,7612,"Aluminium casks, drums, cans, boxes etc (including rigid, collapsible tubular containers), for mater",weight_kg,202007.97000000003,0.0,0.0,202007.97000000003,True
MOROCCO,0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",weight_kg,29120.0,231000.0,-87.39,201880.0,False
