country_origin,hs_code,hs_description,period_value,ytd_value,share_of_total,period_value_teu,ytd_value_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,share_of_total_shipment,period_value_container,ytd_value_container,share_of_total_container,period_value_vrac,ytd_value_vrac,share_of_total_vrac
CHINA,5601,"Wadding of textile materials and articles thereof; textile fibres, not exceeding 5 mm in length (flock), textile dust and mill neps",16654.0,16654.0,0.004134454653253164,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,5603,"Nonwovens; whether or not impregnated, coated, covered or laminated",100580.0,100580.0,0.024969583825159316,8.0,8.0,0.07017236086136573,3,3,0.0612119975515201,4,4,0.057290174735032943,0,0,0.0
CHINA,5608,"Twine, cordage or rope; knotted netting, made up fishing nets and other made up nets, of textile materials",25340.0,25340.0,0.006290805867265232,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,5703,"Carpets and other textile floor coverings; tufted, whether or not made up",25578.0,25578.0,0.006349890784250596,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,6107,"Underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys', knitted or crocheted",20030.0,20030.0,0.004972566753011941,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,6108,"Slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls', knitted or crocheted",21053.0,21053.0,0.005226532593667519,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",26144.2,26144.2,0.00649045330524687,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,6204,"Suits, ensembles, jackets, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear); women's or girls' (not knitted or crocheted)",147119.0,147119.0,0.03652316765533519,12.0,12.0,0.10525854129204859,6,6,0.1224239951030402,6,6,0.08593526210254941,0,0,0.0
CHINA,6211,"Track suits, swimwear and other garments (not knitted or crocheted)",38355.0,38355.0,0.009521857104931255,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CHINA,6212,"Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof; whether or not knitted or crocheted",13750.0,13750.0,0.0034135193636502343,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,6303,Curtains (including drapes) and interior blinds; curtain or bed valances,16796.0,16796.0,0.004169706998681406,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,6305,"Sacks and bags, of a kind used for the packing of goods",80759.7,80759.7,0.02004907634564246,6.0,6.0,0.052629270646024295,4,4,0.08161599673536013,4,4,0.057290174735032943,0,0,0.0
CHINA,6309,Textiles; worn clothing and other worn articles,2326837.32,2326837.32,0.5776512180279284,195.0,195.0,1.7104512959957896,76,76,1.5507039379718426,98,98,1.4036092810083072,0,0,0.0
CHINA,6403,"Footwear; with outer soles of rubber, plastics, leather or composition leather and uppers of leather",162182.0,162182.0,0.04026264708621981,22.0,22.0,0.19297399236875576,11,11,0.22444399102224036,11,11,0.15754798052134059,0,0,0.0
CHINA,6404,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",17440.0,17440.0,0.004329583832877098,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,6405,Footwear; other footwear n.e.c. in chapter 64,827851.0,827851.0,0.20551893954306985,104.0,104.0,0.9122406911977545,52,52,1.0610079575596818,52,52,0.7447722715554282,0,0,0.0
CHINA,6702,"Flowers, foliage and fruit, artificial, and parts thereof; articles made of artificial flowers, foliage or fruit",3080.0,3080.0,0.0007646283374576526,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,6704,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair or of textile materials; articles of human hair, n.e.c. or included",21500.0,21500.0,0.005337503004980366,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",767951.58,767951.58,0.19064855190369398,28.0,28.0,0.24560326301478005,5,5,0.10201999591920016,28,28,0.4010312231452306,0,0,0.0
CHINA,6910,"Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures",49370.0,49370.0,0.012256396435157243,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
CHINA,7009,"Glass mirrors; whether or not framed, including rear-view mirrors",27000.0,27000.0,0.006702910750440461,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures of glass",32403.0,32403.0,0.008044237668389713,4.0,4.0,0.035086180430682866,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
CHINA,7016,"Glass; paving blocks, slabs, bricks, tiles etc, of pressed, moulded glass, whether or not wired, glass smallwares for decorative purposes leaded lights and the like; multicellular or foam glass",247579.25,247579.25,0.06146302283003653,10.0,10.0,0.08771545107670717,8,8,0.16323199347072026,10,10,0.14322543683758235,0,0,0.0
CHINA,7020,Glass; articles n.e.c. in chapter 70,13330.0,13330.0,0.0033092518630878274,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot-extruded, but including those twisted after rolling",854467.0,854467.0,0.21212652000728183,10.0,10.0,0.08771545107670717,3,3,0.0612119975515201,6,6,0.08593526210254941,1,1,0.06489292667099286
CHINA,7217,Wire of iron or non-alloy steel,4761493.0,4761493.0,1.1820689858461852,6.0,6.0,0.052629270646024295,3,3,0.0612119975515201,6,6,0.08593526210254941,1,1,0.06489292667099286
CHINA,7220,Stainless steel; flat-rolled products of width less than 600mm,83550.0,83550.0,0.020741784933307424,3.0,3.0,0.026314635323012148,1,1,0.020403999183840033,3,3,0.042967631051274706,0,0,0.0
CHINA,7225,"Alloy steel flat-rolled products, of a width 600mm or more",226321.0,226321.0,0.05618553570186798,11.0,11.0,0.09648699618437788,3,3,0.0612119975515201,9,9,0.1289028931538241,0,0,0.0
CHINA,7228,"Alloy steel bars, rods, shapes and sections; hollow drill bars and rods, of alloy or non-alloy steel",1040742.0,1040742.0,0.25837039778647797,0.0,0.0,0.0,1,1,0.020403999183840033,0,0,0.0,1,1,0.06489292667099286
CHINA,7308,"Structures of iron or steel and parts thereof; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures",726828.05,726828.05,0.18043939074321025,52.0,52.0,0.45612034559887726,9,9,0.1836359926545603,27,27,0.38670867946147236,0,0,0.0
CHINA,7311,"Containers for compressed or liquefied gas, of iron or steel",151914.6,151914.6,0.037713703906994904,16.0,16.0,0.14034472172273146,5,5,0.10201999591920016,8,8,0.11458034947006589,0,0,0.0
CHINA,7312,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated",167750.0,167750.0,0.04164493623653286,6.0,6.0,0.052629270646024295,2,2,0.040807998367680065,6,6,0.08593526210254941,0,0,0.0
CHINA,7313,"Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not and loosely twisted double wire, of a kind used for fencing, of iron or steel",256916.0,256916.0,0.0637809266059319,15.0,15.0,0.13157317661506074,4,4,0.08161599673536013,10,10,0.14322543683758235,0,0,0.0
CHINA,7317,"Nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, of iron or steel, with heads of other material or not, but excluding articles with heads of copper",223043.0,223043.0,0.05537175268557377,8.0,8.0,0.07017236086136573,5,5,0.10201999591920016,8,8,0.11458034947006589,0,0,0.0
CHINA,7321,"Stoves, ranges, grates, cookers (those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate warmers and similar non-electric domestic appliances and parts, of iron or st",351681.3,351681.3,0.08730697653699543,82.0,82.0,0.7192666988289987,22,22,0.4488879820444807,41,41,0.5872242910340877,0,0,0.0
CHINA,7323,"Table, kitchen, other household articles and parts, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel",57807.5,57807.5,0.014351056044669887,8.0,8.0,0.07017236086136573,4,4,0.08161599673536013,4,4,0.057290174735032943,0,0,0.0
CHINA,7326,"Iron or steel; articles, n.e.c. in chapter 73",1768748.95,1768748.95,0.4391024574735288,102.0,102.0,0.894697600982413,11,11,0.22444399102224036,57,57,0.8163849899742194,1,1,0.06489292667099286
CHINA,7604,"Aluminium; bars, rods and profiles",52110.0,52110.0,0.01293661774835009,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CHINA,7609,"Aluminium; tube or pipe fittings (e.g. couplings, elbows, sleeves)",26630.0,26630.0,0.006611056047564054,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,7610,"Aluminium; structures (excluding prefabricated buildings of heading no. 9406) and parts (e.g. bridges and sections, towers, lattice masts, etc) plates, rods, profiles and tubes for structures",9875.0,9875.0,0.0024515275429851683,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,8112,"Beryllium, chromium, germanium, vanadium, gallium, hafnium, indium, niobium (columbium), rhenium and thallium; and articles of these metals, including waste and scrap",56290.0,56290.0,0.01397432763489976,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
CHINA,8201,"Tools, hand; spades, shovels, mattocks, picks, hoes, forks, rakes; axes, bill hooks etc; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools us",90825.0,90825.0,0.02254784699662055,7.0,7.0,0.061400815753695014,3,3,0.0612119975515201,4,4,0.057290174735032943,0,0,0.0
CHINA,8204,"Tools, hand; hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches), interchangeable spanner sockets, with or without handles",21601.0,21601.0,0.0053625768563060885,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,8301,"Padlocks and locks (key, combination, electrically operated) of base metal; clasps and frames with clasps incorporating locks, of base metal, keys for any or the foregoing articles, of base metal",84300.0,84300.0,0.020927976898597437,8.0,8.0,0.07017236086136573,4,4,0.08161599673536013,4,4,0.057290174735032943,0,0,0.0
CHINA,8414,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan whether or not fitted with filters",68748.75,68748.75,0.017067286498309023,18.0,18.0,0.1578878119380729,8,8,0.16323199347072026,9,9,0.1289028931538241,0,0,0.0
CHINA,8415,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated",74521.69,74521.69,0.01850045322377746,18.0,18.0,0.1578878119380729,8,8,0.16323199347072026,9,9,0.1289028931538241,0,0,0.0
CHINA,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",322932.54,322932.54,0.08016992570492755,128.0,128.0,1.1227577737818517,35,35,0.7141399714344011,65,65,0.9309653394442853,0,0,0.0
CHINA,8422,"Dish washing machines; machinery for cleaning, drying, filling, closing, sealing, capsuling or labelling bottles, cans, boxes, bags, etc, machinery for aerating beverages",3947.01,3947.01,0.0009798687318924445,3.0,3.0,0.026314635323012148,1,1,0.020403999183840033,3,3,0.042967631051274706,0,0,0.0
CHINA,8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",16800.0,16800.0,0.004170700022496286,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,8436,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",51320.0,51320.0,0.012740495544911275,4.0,4.0,0.035086180430682866,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
CHINA,8438,"Machinery n.e.c. in this chapter, for the industrial preparation or manufacture of food or drink; other than machinery for extraction or preparation of animal or fixed vegetable fats or oils",11090.0,11090.0,0.0027531585267549894,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,8447,"Knitting machines, stitch-bonding machines and machines for making gimped yarn, tulle, lace, embroidery, trimmings, braid or net and machines for tufting",25240.0,25240.0,0.00626598027189323,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,8450,Household or laundry-type washing machines; including machines which both wash and dry,18533.4,18533.4,0.004601026892674565,8.0,8.0,0.07017236086136573,4,4,0.08161599673536013,4,4,0.057290174735032943,0,0,0.0
CHINA,8455,Metal-rolling mills and rolls therefor,1013082.0,1013082.0,0.25150363810658233,0.0,0.0,0.0,2,2,0.040807998367680065,0,0,0.0,2,2,0.12978585334198572
CHINA,8459,"Machine-tools; (including way-type unit head machines) for drilling, boring, milling, threading or tapping by removing metal, other than lathes of heading no. 8458",11650.0,11650.0,0.0028921818608381986,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,8474,"Machinery for sorting, screening, separating, washing, crushing, grinding, mixing or kneading earth, stone, ores in solid form, shaping, moulding machinery for solid mineral fuels",54625.0,54625.0,0.013560981471955932,5.0,5.0,0.043857725538353584,3,3,0.0612119975515201,3,3,0.042967631051274706,0,0,0.0
CHINA,8502,Electric generating sets and rotary converters,174089.8,174089.8,0.04321882933192703,16.0,16.0,0.14034472172273146,9,9,0.1836359926545603,9,9,0.1289028931538241,0,0,0.0
CHINA,8503,Electric motors and generators; parts suitable for use solely or principally with the machines of heading no. 8501 or 8502,12732.0,12732.0,0.003160794802763257,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,8504,"Electric transformers, static converters (e.g. rectifiers) and inductors",42149.46,42149.46,0.01046385439108371,5.0,5.0,0.043857725538353584,3,3,0.0612119975515201,3,3,0.042967631051274706,0,0,0.0
CHINA,8506,Cells and batteries; primary,306549.0,306549.0,0.07610261435691751,18.0,18.0,0.1578878119380729,10,10,0.20403999183840033,13,13,0.18619306788885706,0,0,0.0
CHINA,8509,"Electro-mechanical domestic appliances; with self-contained electric motor, other than vacuum cleaners of heading 85.08.",174386.96,174386.96,0.043292601071134466,22.0,22.0,0.19297399236875576,9,9,0.1836359926545603,12,12,0.17187052420509882,0,0,0.0
CHINA,8517,Sugars and sugar confectionery,5426.0,5426.0,0.0013470368048848125,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless ne",980.0,980.0,0.0002432908346456167,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audi",59697.5,59697.5,0.014820259797200717,10.0,10.0,0.08771545107670717,5,5,0.10201999591920016,5,5,0.07161271841879117,0,0,0.0
CHINA,8523,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the pr",10645.0,10645.0,0.0026426846273495818,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or rep",7580.95,7580.95,0.0018820159723537634,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,8529,Transmission apparatus; parts suitable for use solely or principally with the apparatus of heading no. 8525 to 8528,46932.0,46932.0,0.01165114841998784,4.0,4.0,0.035086180430682866,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
CHINA,8536,"Electrical apparatus for switching, protecting electrical circuits, for making connections to or in electrical circuits, for a voltage not exceeding 1000 volts; connectors for optical fibres, optical ",55760.0,55760.0,0.013842751979428152,6.0,6.0,0.052629270646024295,3,3,0.0612119975515201,3,3,0.042967631051274706,0,0,0.0
CHINA,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals",556997.02,556997.02,0.13827782641930741,52.0,52.0,0.45612034559887726,12,12,0.2448479902060804,26,26,0.3723861357777141,0,0,0.0
CHINA,8544,"Insulated wire, cable and other electric conductors, connector fitted or not; optical fibre cables of individually sheathed fibres, whether or not assembled with electric conductors or fitted with con",28175.0,28175.0,0.0069946114960614805,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CHINA,8702,Vehicles; public transport passenger type,11440.0,11440.0,0.002840048110556995,10.0,10.0,0.08771545107670717,4,4,0.08161599673536013,2,2,0.028645087367516472,2,2,0.12978585334198572
CHINA,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",62532.0,62532.0,0.015523941298020106,24.0,24.0,0.21051708258409718,1,1,0.020403999183840033,12,12,0.17187052420509882,0,0,0.0
CHINA,8704,Vehicles; for the transport of goods,37180.0,37180.0,0.009230156359310234,18.0,18.0,0.1578878119380729,2,2,0.040807998367680065,9,9,0.1289028931538241,0,0,0.0
CHINA,8706,"Chassis; fitted with engines, for the motor vehicles of heading no. 8701 to 8705",28490.0,28490.0,0.007072812121483286,8.0,8.0,0.07017236086136573,1,1,0.020403999183840033,4,4,0.057290174735032943,0,0,0.0
CHINA,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",363187.78,363187.78,0.09016352870335574,30.0,30.0,0.2631463532301215,14,14,0.28565598857376046,18,18,0.2578057863076482,0,0,0.0
CHINA,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars; side-cars",3072409.84,3072409.84,0.7627440350479651,410.0,410.0,3.596333494144994,106,106,2.1628239134870433,182,182,2.606702950443999,0,0,0.0
CHINA,8714,Vehicles; parts and accessories of heading no. 8711 to 8713,1415240.25,1415240.25,0.3513418180067054,116.0,116.0,1.0174992324898031,43,43,0.8773719649051214,58,58,0.8307075336579777,0,0,0.0
CHINA,8716,"Trailers and semi-trailers; other vehicles, not mechanically propelled; parts thereof",99699.99,99699.99,0.024751116103326164,10.0,10.0,0.08771545107670717,2,2,0.040807998367680065,5,5,0.07161271841879117,0,0,0.0
CHINA,9001,"Optical fibres and optical fibre bundles; optical fibre cables not of heading no. 8544; sheets, plates of polarising material; lenses, prisms, mirrors, of any material; unmounted; not non optical glas",21740.0,21740.0,0.005397084433873171,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",81954.99,81954.99,0.020345814204564463,16.0,16.0,0.14034472172273146,4,4,0.08161599673536013,8,8,0.11458034947006589,0,0,0.0
CHINA,9401,"Seats (not those of heading no. 9402), whether or not convertible into beds and parts thereof",87682.25,87682.25,0.021767640598066965,20.0,20.0,0.17543090215341434,10,10,0.20403999183840033,10,10,0.14322543683758235,0,0,0.0
CHINA,9403,"Furniture and parts thereof, n.e.c. in chapter 94",123973.5,123973.5,0.030777159478508533,17.0,17.0,0.1491162668304022,7,7,0.14282799428688023,9,9,0.1289028931538241,0,0,0.0
CHINA,9404,"Mattress supports; articles of bedding (e.g. mattresses, quilts, eiderdowns, cushions pouffes and pillows), fitted with springs or stuffed, whether or not covered",75468.0,75468.0,0.018735380315342248,14.0,14.0,0.12280163150739003,5,5,0.10201999591920016,7,7,0.10025780578630765,0,0,0.0
CHINA,9405,"Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or incl",23225.8,23225.8,0.005765943129910372,6.0,6.0,0.052629270646024295,4,4,0.08161599673536013,4,4,0.057290174735032943,0,0,0.0
CHINA,9503,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (scale) models and similar recreational models, working or not; puzzles of all kinds",4980.0,4980.0,0.0012363146495256848,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,9507,"Fishing rods, fish-hooks and other line fishing tackle; fish landing nets and the like; decoy birds (not those of heading no. 9208 or 9705) and similar hunting or shooting requisites",56400.0,56400.0,0.014001635789808961,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
CHINA,9603,"Brooms, brushes (including parts of machines), hand operated floor sweepers, mops and feather dusters; knots and tufts for broom or brush making; paint pads and rollers; squeegees",26533.9,26533.9,0.00658719865041156,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CHINA,9617,"Vacuum flasks and other vacuum vessels, complete with cases; parts thereof other than glass inners",54432.0,54432.0,0.013513068072887968,4.0,4.0,0.035086180430682866,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
CHINA,9619,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material",526671.99,526671.99,0.13074945717506928,90.0,90.0,0.7894390596903644,18,18,0.3672719853091206,45,45,0.6445144657691206,0,0,0.0
CHINA,9999,Commodities not specified according to kind,4611995.97,4611995.97,1.1449554580852253,487.0,487.0,4.271742467435638,215,215,4.386859824525607,259,259,3.709538814093383,0,0,0.0
COLOMBIA,0203,"Meat of swine; fresh, chilled or frozen",49720.0,49720.0,0.012343286018959248,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
COLOMBIA,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",116000.0,116000.0,0.028797690631521978,8.0,8.0,0.07017236086136573,2,2,0.040807998367680065,4,4,0.057290174735032943,0,0,0.0
COLOMBIA,1517,"Margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils of heading no. 1516",330616.0,330616.0,0.08207739039509716,17.0,17.0,0.1491162668304022,2,2,0.040807998367680065,17,17,0.24348324262389,0,0,0.0
COLOMBIA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,52606.8,52606.8,0.013059951306158193,4.0,4.0,0.035086180430682866,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
COLOMBIA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",12120498.96,12120498.96,3.008986028877275,684.25,684.25,6.001929739923687,53,53,1.0814119567435216,465,465,6.65998281294758,0,0,0.0
COLOMBIA,1704,"Sugar confectionery (including white chocolate), not containing cocoa",193498.26,193498.26,0.048037095079463826,15.0,15.0,0.13157317661506074,8,8,0.16323199347072026,8,8,0.11458034947006589,0,0,0.0
COLOMBIA,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",192880.67,192880.67,0.04788377468500588,24.0,24.0,0.21051708258409718,8,8,0.16323199347072026,12,12,0.17187052420509882,0,0,0.0
COLOMBIA,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",27466.0,27466.0,0.006818598024873989,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
COLOMBIA,2208,"Ethyl alcohol, undenatured; of an alcoholic strength by volume of less than 80% volume; spirits, liqueurs and other spirituous beverages",23136.0,23136.0,0.005743649745266315,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
COLOMBIA,2806,Hydrogen chloride (hydrochloric acid); chlorosulphuric acid,42110.0,42110.0,0.010454058211149917,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
COLOMBIA,2828,Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites,22840.0,22840.0,0.00567016598296519,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
COLOMBIA,3214,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for facades, indoor walls, floors, ceilings or the like",84384.0,84384.0,0.02094883039870992,6.75,6.75,0.05920792947677733,1,1,0.020403999183840033,3,3,0.042967631051274706,0,0,0.0
COLOMBIA,3824,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specif",8910.0,8910.0,0.002211960547645352,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
COLOMBIA,4011,"New pneumatic tyres, of rubber",62650.0,62650.0,0.015553235500559068,6.0,6.0,0.052629270646024295,2,2,0.040807998367680065,3,3,0.042967631051274706,0,0,0.0
COLOMBIA,4818,"Toilet paper, width 36cm or less or cut to size/shape; handkerchiefs, tissues, towels, serviettes, bed sheets and similar household or hospital articles, apparel and clothing accessories of paper pulp",24654.0,24654.0,0.0061205022830133,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
COLOMBIA,4819,"Cartons, boxes, cases, bags and the like, of paper, paperboard, cellulose wadding or fibres; box files, letter trays and the like, of paper or paperboard, of a kind used in offices, shops or the like",9500.0,9500.0,0.002358431560340162,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
COLOMBIA,5603,"Nonwovens; whether or not impregnated, coated, covered or laminated",139420.01,139420.01,0.034611847550204314,12.0,12.0,0.10525854129204859,3,3,0.0612119975515201,6,6,0.08593526210254941,0,0,0.0
COLOMBIA,7020,Glass; articles n.e.c. in chapter 70,14065.04,14065.04,0.0034917299193101886,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
COLOMBIA,8302,"Base metal mountings, fittings and similar articles for furniture, doors, staircases, windows, trunks, chests etc, castors with mountings of base metal, automatic door closers of base metal",4591.0,4591.0,0.0011397430835285982,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
COLOMBIA,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",3965.0,3965.0,0.0009843348564998677,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
COLOMBIA,9999,Commodities not specified according to kind,161456.58,161456.58,0.04008255725227223,19.5,19.5,0.17104512959957896,6,6,0.1224239951030402,11,11,0.15754798052134059,0,0,0.0
