country_origin,hs_code,hs_description,period_value,ytd_value,share_of_total,period_value_teu,ytd_value_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,share_of_total_shipment,period_value_container,ytd_value_container,share_of_total_container,period_value_vrac,ytd_value_vrac,share_of_total_vrac
BELGIUM,2201,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured; ice and snow",19360.14,19360.14,0.004806270019853051,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BELGIUM,2202,"Waters, including mineral and aerated waters, containing added sugar or sweetening matter, flavoured; other non-alcoholic beverages, not including fruit or vegetable juices of heading no. 2009",177214.0,177214.0,0.0439944305825391,10.0,10.0,0.08771545107670717,1,1,0.020403999183840033,10,10,0.14322543683758235,0,0,0.0
BELGIUM,2205,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",141420.88,141420.88,0.035108575440324086,8.0,8.0,0.07017236086136573,2,2,0.040807998367680065,8,8,0.11458034947006589,0,0,0.0
BELGIUM,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents",25187.62,25187.62,0.006252976625037376,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BELGIUM,2806,Hydrogen chloride (hydrochloric acid); chlorosulphuric acid,11344.0,11344.0,0.0028162155389998733,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BELGIUM,3006,Pharmaceutical goods,39247.3,39247.3,0.009743375892435627,11.0,11.0,0.09648699618437788,6,6,0.1224239951030402,6,6,0.08593526210254941,0,0,0.0
BELGIUM,3203,"Colouring matter of vegetable or animal origin (including dyeing extracts, not animal black); whether or not chemically defined; preparations based on colouring matter of vegetable or animal origin",10170.0,10170.0,0.0025247630493325734,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BELGIUM,3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces, shapes, liquid or cream, containing soap or not; for retail, paper, wadding, felt and nonwovens, i",20734.8,20734.8,0.00514753754919381,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BELGIUM,6309,Textiles; worn clothing and other worn articles,307704.0,307704.0,0.07638934998346412,24.5,24.5,0.21490285513793256,7,7,0.14282799428688023,11,11,0.15754798052134059,0,0,0.0
BRAZIL,0203,"Meat of swine; fresh, chilled or frozen",1509104.04,1509104.04,0.37464406271293077,125.25,125.25,1.0986360247357572,62,62,1.265047949398082,62,62,0.8879977083930106,0,0,0.0
BRAZIL,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",987480.44,987480.44,0.24514789841206208,74.25,74.25,0.6512872242445507,37,37,0.7549479698020812,37,37,0.5299341162990547,0,0,0.0
BRAZIL,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,510325.06,510325.06,0.12669123447752492,38.0,38.0,0.3333187140914872,11,11,0.22444399102224036,19,19,0.27212832999140646,0,0,0.0
BRAZIL,1507,"Soya-bean oil and its fractions; whether or not refined, but not chemically modified",22465.0,22465.0,0.005577070000320183,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BRAZIL,1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these products",1411593.45,1411593.45,0.3504364781946792,100.0,100.0,0.8771545107670716,50,50,1.0201999591920017,50,50,0.7161271841879118,0,0,0.0
BRAZIL,1602,"Prepared or preserved meat, meat offal or blood",57834.0,57834.0,0.014357634827443467,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
