hs_chapter,ytd_value,ytd_value_teu,ytd_value_shipment,ytd_value_container,ytd_value_vrac,prev_year_value,prev_year_value_teu,prev_year_value_shipment,prev_year_value_container,prev_year_value_vrac,yoy_change_pct,share_of_total,yoy_change_pct_teu,share_of_total_teu,yoy_change_pct_shipment,share_of_total_shipment,yoy_change_pct_container,share_of_total_container,yoy_change_pct_vrac,share_of_total_vrac
40,1169664.17,165.5,56,83,0,12005670.48,1680.5,456.0,842.0,19.0,-90.25740235042666,0.29037609405548215,-90.15174055340673,1.4516907153195036,-87.71929824561404,1.1426239542950418,-90.14251781472684,1.1887711257519336,-100.0,0.0
70,1116549.5,101.25,20,56,0,12282232.9,1196.5,184.0,618.0,2.0,-90.9092303566398,0.27719006099810817,-91.53781863769328,0.88811894215166,-89.1304347826087,0.40807998367680065,-90.93851132686085,0.8020624462904612,-100.0,0.0
64,1007473.0,128.0,64,64,0,10856448.11,1286.5,635.0,637.0,7.0,-90.72004959824747,0.25011117046216674,-90.05052467936261,1.1227577737818517,-89.92125984251969,1.305855947765762,-89.95290423861853,0.9166427957605271,-100.0,0.0
34,920108.25,75.5,22,40,0,15813395.600000001,1263.5,206.0,660.0,0.0,-94.18146315140564,0.22842235112940587,-94.02453502176493,0.6622516556291391,-89.32038834951456,0.4488879820444807,-93.93939393939394,0.5729017473503294,0.0,0.0
29,773094.65,48.0,16,30,0,9120269.31,650.0,171.0,357.0,5.0,-91.52333529063299,0.19192534965159277,-92.61538461538461,0.42103416516819436,-90.64327485380117,0.3264639869414405,-91.59663865546219,0.4296763105127471,-100.0,0.0
96,742675.3,120.0,30,60,1,8806555.690000001,1460.0,304.0,728.0,9.0,-91.5667903986195,0.18437356490579979,-91.78082191780823,1.052585412920486,-90.13157894736842,0.612119975515201,-91.75824175824175,0.8593526210254941,-88.88888888888889,0.06489292667099286
56,698258.01,70.25,29,37,0,13330370.95,1723.25,752.0,802.0,1.0,-94.76190113074085,0.17334670821519121,-95.9234005512839,0.6162010438138679,-96.1436170212766,0.591715976331361,-95.38653366583542,0.5299341162990547,-100.0,0.0
38,644342.38,48.0,16,27,3,45481116.8,672.0,300.0,386.0,82.0,-98.58327493840255,0.15996183206912565,-92.85714285714286,0.42103416516819436,-94.66666666666667,0.3264639869414405,-93.00518134715026,0.38670867946147236,-96.34146341463415,0.1946787800129786
03,639950.78,46.5,16,23,0,10059354.59,774.75,228.0,370.0,0.0,-93.6382520938652,0.1588715912227688,-93.99806389157793,0.4078768475066883,-92.98245614035088,0.3264639869414405,-93.78378378378379,0.3294185047264394,0.0,0.0
30,590089.09,101.25,77,54,31,5093543.49,802.25,885.0,436.0,541.0,-88.41495922910046,0.14649312981772697,-87.37924587098784,0.88811894215166,-91.29943502824858,1.5711079371556824,-87.61467889908256,0.7734173589229447,-94.26987060998151,2.011680726800779
20,491731.81999999995,29.0,12,21,0,6156191.1,395.0,103.0,261.0,0.0,-92.01240162931263,0.12207535194857974,-92.65822784810126,0.2543748081224508,-88.3495145631068,0.2448479902060804,-91.95402298850574,0.30077341735892293,0.0,0.0
94,384163.69,77.0,35,41,0,5681684.51,767.25,251.0,391.0,1.0,-93.23855998473945,0.09537092324555098,-89.96415770609319,0.6754089732906452,-86.05577689243027,0.7141399714344011,-89.51406649616368,0.5872242910340877,-100.0,0.0
