country_origin,hs_code,hs_description,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac
NETHERLANDS,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2251000.76,2251000.76,15937232.069999998,-85.87583621727357,0.5588243404982831,118.0,118.0,868.5,-86.4133563615429,1.0350423227051444,10,10,99.0,-89.8989898989899,0.20403999183840033,113,113,796.0,-85.80402010050251,1.6184474362646806,0,0,0.0,0.0,0.0
PERU,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",2206710.01,2206710.01,12257850.16,-81.99757721626449,0.5478288981160583,83.0,83.0,458.0,-81.87772925764192,0.7280382439366695,13,13,78.0,-83.33333333333333,0.26525198938992045,83,83,458.0,-81.87772925764192,1.1887711257519336,0,0,0.0,0.0,0.0
USA,8702,Vehicles; public transport passenger type,2098745.52,2098745.52,8559486.719999999,-75.48047460490714,0.5210260706832132,2.0,2.0,110.0,-98.18181818181819,0.017543090215341433,204,204,804.0,-74.6268656716418,4.162415833503367,1,1,53.0,-98.11320754716981,0.014322543683758236,203,203,751.0,-72.9693741677763,13.17326411421155
USA,2815,Sodium hydroxide (caustic soda); potassium hydroxide (caustic potash) peroxides of sodium or potassium,2000817.0,2000817.0,1823368.0,9.731935626818064,0.4967147325542234,0.0,0.0,0.0,0.0,0.0,2,2,2.0,0.0,0.040807998367680065,0,0,0.0,0.0,0.0,2,2,2.0,0.0,0.12978585334198572
BELGIUM,1107,Malt; whether or not roasted,1890382.68,1890382.68,8266332.37,-77.13154280052255,0.4692987551192018,150.0,150.0,670.0,-77.61194029850746,1.3157317661506074,8,8,38.0,-78.94736842105263,0.16323199347072026,75,75,318.0,-76.41509433962264,1.0741907762818677,0,0,0.0,0.0,0.0
CHINA,7326,"Iron or steel; articles, n.e.c. in chapter 73",1768748.95,1768748.95,11248647.849999998,-84.27589721372601,0.4391024574735288,102.0,102.0,526.0,-80.6083650190114,0.894697600982413,11,11,82.0,-86.58536585365853,0.22444399102224036,57,57,414.0,-86.23188405797102,0.8163849899742194,1,1,0.0,100.0,0.06489292667099286
VIETNAM,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",1536648.0,1536648.0,3330999.06,-53.86825476918627,0.38148201477195676,58.0,58.0,128.0,-54.6875,0.5087496162449016,6,6,11.0,-45.45454545454545,0.1224239951030402,58,58,128.0,-54.6875,0.8307075336579777,0,0,0.0,0.0,0.0
BRAZIL,0203,"Meat of swine; fresh, chilled or frozen",1509104.04,1509104.04,7819873.369999999,-80.70168187390993,0.37464406271293077,125.25,125.25,664.75,-81.15833019932306,1.0986360247357572,62,62,310.0,-80.0,1.265047949398082,62,62,311.0,-80.06430868167203,0.8879977083930106,0,0,0.0,0.0,0.0
INDIA,2203,Beer made from malt,1481629.1199999999,1481629.1199999999,10809261.84,-86.29296669901005,0.3678232502449496,108.0,108.0,825.0,-86.9090909090909,0.9473268716284373,13,13,154.0,-91.55844155844156,0.26525198938992045,54,54,398.0,-86.4321608040201,0.7734173589229447,0,0,0.0,0.0,0.0
CHINA,8714,Vehicles; parts and accessories of heading no. 8711 to 8713,1415240.25,1415240.25,7169825.95,-80.26116310396628,0.3513418180067054,116.0,116.0,586.0,-80.20477815699658,1.0174992324898031,43,43,203.0,-78.81773399014779,0.8773719649051214,58,58,301.0,-80.73089700996678,0.8307075336579777,0,0,0.0,0.0,0.0
BRAZIL,1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these products",1411593.45,1411593.45,9816810.16,-85.620650425209,0.3504364781946792,100.0,100.0,741.5,-86.51382333108563,0.8771545107670716,50,50,347.0,-85.5907780979827,1.0201999591920017,50,50,348.0,-85.63218390804597,0.7161271841879118,0,0,0.0,0.0,0.0
CHINA,4820,"Registers, account books, diaries and similar; albums for samples or collections, of paper or paperboard",1392286.38,1392286.38,2406665.96,-42.14874838716712,0.34564338311829007,98.0,98.0,174.0,-43.67816091954023,0.8596114205517302,6,6,16.0,-62.5,0.1224239951030402,49,49,87.0,-43.67816091954023,0.7018046405041536,0,0,0.0,0.0,0.0
PANAMA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",1178320.0,1178320.0,4011300.0,-70.62498441901629,0.2925249553873705,47.0,47.0,180.0,-73.88888888888889,0.41226262006052367,4,4,15.0,-73.33333333333333,0.08161599673536013,47,47,160.0,-70.625,0.6731595531366371,0,0,0.0,0.0,0.0
NETHERLANDS,0203,"Meat of swine; fresh, chilled or frozen",1071870.1,1071870.1,4275573.88,-74.93038057384709,0.26609813393947007,76.5,76.5,316.5,-75.82938388625593,0.6710232007368098,24,24,99.0,-75.75757575757575,0.4896959804121608,38,38,152.0,-75.0,0.5442566599828129,0,0,0.0,0.0,0.0
CHINA,7228,"Alloy steel bars, rods, shapes and sections; hollow drill bars and rods, of alloy or non-alloy steel",1040742.0,1040742.0,1501756.26,-30.698341154242964,0.25837039778647797,0.0,0.0,58.0,-100.0,0.0,1,1,14.0,-92.85714285714286,0.020403999183840033,0,0,55.0,-100.0,0.0,1,1,0.0,100.0,0.06489292667099286
SURINAME,1006,Rice,1040000.0,1040000.0,4214500.0,-75.32328864634002,0.25818619186881775,40.0,40.0,196.0,-79.59183673469387,0.3508618043068287,4,4,22.0,-81.81818181818181,0.08161599673536013,40,40,161.0,-75.15527950310559,0.5729017473503294,0,0,0.0,0.0,0.0
CHINA,8455,Metal-rolling mills and rolls therefor,1013082.0,1013082.0,1318497.98,-23.163932340647197,0.25150363810658233,0.0,0.0,48.0,-100.0,0.0,2,2,11.0,-81.81818181818181,0.040807998367680065,0,0,48.0,-100.0,0.0,2,2,0.0,200.0,0.12978585334198572
FRANCE,6309,Textiles; worn clothing and other worn articles,1006726.0,1006726.0,7717403.0,-86.95511948773441,0.2499257232647379,74.0,74.0,682.0,-89.14956011730206,0.649094337967633,37,37,282.0,-86.87943262411348,0.7549479698020812,37,37,282.0,-86.87943262411348,0.5299341162990547,0,0,0.0,0.0,0.0
EGYPT,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot-extruded, but including those twisted after rolling",1003740.0,1003740.0,4092320.0,-75.4725925636314,0.2491844309869299,0.0,0.0,0.0,0.0,0.0,1,1,3.0,-66.66666666666667,0.020403999183840033,0,0,0.0,0.0,0.0,1,1,3.0,-66.66666666666667,0.06489292667099286
BRAZIL,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",987480.44,987480.44,20100529.77,-95.08729147291524,0.24514789841206208,74.25,74.25,1521.25,-95.11914543960559,0.6512872242445507,37,37,721.0,-94.86823855755894,0.7549479698020812,37,37,735.0,-94.96598639455782,0.5299341162990547,0,0,0.0,0.0,0.0
INDONESIA,1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; but not chemically modified",963166.8400000001,963166.8400000001,8473241.0,-88.63284025557635,0.2391119024556951,43.0,43.0,347.0,-87.60806916426513,0.3771764396298408,11,11,81.0,-86.41975308641975,0.22444399102224036,38,38,337.0,-88.72403560830861,0.5442566599828129,0,0,0.0,0.0,0.0
USA,4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6mm",933290.0,933290.0,26423101.860000003,-96.46790144115201,0.2316947990473547,30.0,30.0,109.5,-72.6027397260274,0.2631463532301215,9,9,47.0,-80.85106382978724,0.1836359926545603,15,15,45.0,-66.66666666666667,0.21483815525637354,3,3,30.0,-90.0,0.1946787800129786
CANADA,9999,Commodities not specified according to kind,859507.0,859507.0,3949341.76,-78.23670241189762,0.2133777300140307,171.25,171.25,750.75,-77.18947718947719,1.5021270996886102,84,84,354.0,-76.27118644067797,1.7139359314425628,84,84,363.0,-76.85950413223141,1.2030936694356917,0,0,0.0,0.0,0.0
CHINA,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot-extruded, but including those twisted after rolling",854467.0,854467.0,19789137.25,-95.68214122118941,0.21212652000728183,10.0,10.0,50.0,-80.0,0.08771545107670717,3,3,16.0,-81.25,0.0612119975515201,6,6,47.0,-87.23404255319149,0.08593526210254941,1,1,2.0,-50.0,0.06489292667099286
USA,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",844730.02,844730.02,6037672.369999999,-86.00901194643657,0.20970925675102908,24.0,24.0,193.5,-87.59689922480621,0.21051708258409718,427,427,2508.0,-82.97448165869218,8.712507651499694,23,23,97.0,-76.28865979381443,0.3294185047264394,404,404,2430.0,-83.37448559670781,26.216742375081115
CHINA,6405,Footwear; other footwear n.e.c. in chapter 64,827851.0,827851.0,8874703.0,-90.67178924184843,0.20551893954306985,104.0,104.0,1038.0,-89.98073217726397,0.9122406911977545,52,52,504.0,-89.68253968253968,1.0610079575596818,52,52,513.0,-89.8635477582846,0.7447722715554282,0,0,0.0,0.0,0.0
USA,3901,"Polymers of ethylene, in primary forms",825309.0,825309.0,11320812.73,-92.70980785846812,0.20488787290871355,65.0,65.0,906.0,-92.82560706401766,0.5701504319985966,14,14,180.0,-92.22222222222223,0.28565598857376046,33,33,457.0,-92.77899343544858,0.4726439415640218,0,0,0.0,0.0,0.0
PERU,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",789035.0,789035.0,5321630.0,-85.17305787888297,0.19588263644347365,59.75,59.75,436.25,-86.30372492836676,0.5240998201833252,28,28,185.0,-84.86486486486487,0.5713119771475209,28,28,189.0,-85.18518518518519,0.4010312231452306,0,0,0.0,0.0,0.0
CHINA,4011,"New pneumatic tyres, of rubber",771297.46,771297.46,8590413.64,-91.02141651935635,0.1914791865341267,108.0,108.0,1208.0,-91.05960264900662,0.9473268716284373,35,35,267.0,-86.89138576779027,0.7141399714344011,54,54,605.0,-91.07438016528926,0.7734173589229447,0,0,0.0,0.0,0.0
CHINA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",767951.58,767951.58,3263064.47,-76.46532616623415,0.19064855190369398,28.0,28.0,124.0,-77.41935483870968,0.24560326301478005,5,5,24.0,-79.16666666666667,0.10201999591920016,28,28,120.0,-76.66666666666667,0.4010312231452306,0,0,0.0,0.0,0.0
CHINA,7308,"Structures of iron or steel and parts thereof; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures",726828.05,726828.05,2918614.68,-75.09681373904417,0.18043939074321025,52.0,52.0,179.0,-70.94972067039106,0.45612034559887726,9,9,41.0,-78.04878048780488,0.1836359926545603,27,27,113.0,-76.10619469026548,0.38670867946147236,0,0,0.0,0.0,0.0
TAIWAN,2106,Food preparations not elsewhere specified or included,722880.0,722880.0,9753563.52,-92.58855495719374,0.17945926382512592,40.0,40.0,528.0,-92.42424242424242,0.3508618043068287,1,1,16.0,-93.75,0.020403999183840033,40,40,528.0,-92.42424242424242,0.5729017473503294,0,0,0.0,0.0,0.0
CHINA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,721892.09,721892.09,11039341.0,-93.46073203101525,0.17921400928588638,34.0,34.0,568.0,-94.01408450704226,0.2982325336608044,13,13,166.0,-92.16867469879519,0.26525198938992045,34,34,494.0,-93.11740890688259,0.48696648524778,0,0,0.0,0.0,0.0
INDIA,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",669045.54,669045.54,5031848.379999999,-86.7037818019469,0.16609453861482382,70.0,70.0,551.0,-87.29582577132486,0.6140081575369501,16,16,152.0,-89.47368421052632,0.3264639869414405,35,35,276.0,-87.31884057971014,0.5012890289315383,0,0,0.0,0.0,0.0
EGYPT,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",651585.0,651585.0,815760.05,-20.12540942646064,0.1617598556046573,25.0,25.0,44.0,-43.18181818181818,0.2192886276917679,2,2,4.0,-50.0,0.040807998367680065,25,25,31.0,-19.35483870967742,0.3580635920939559,0,0,0.0,0.0,0.0
INDIA,3203,"Colouring matter of vegetable or animal origin (including dyeing extracts, not animal black); whether or not chemically defined; preparations based on colouring matter of vegetable or animal origin",604800.0,604800.0,109728.0,451.18110236220474,0.15014520080986632,25.0,25.0,8.0,212.5,0.2192886276917679,2,2,8.0,-75.0,0.040807998367680065,25,25,8.0,212.5,0.3580635920939559,0,0,0.0,0.0,0.0
CHINA,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals",556997.02,556997.02,4372928.45,-87.26260842433861,0.13827782641930741,52.0,52.0,407.0,-87.22358722358722,0.45612034559887726,12,12,144.0,-91.66666666666667,0.2448479902060804,26,26,203.0,-87.19211822660098,0.3723861357777141,0,0,0.0,0.0,0.0
NETHERLANDS,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",556143.0,556143.0,2075143.4,-73.19977983208294,0.13806581086971145,38.0,38.0,152.5,-75.08196721311475,0.3333187140914872,13,13,50.0,-74.0,0.26525198938992045,19,19,71.0,-73.2394366197183,0.27212832999140646,0,0,0.0,0.0,0.0
CHINA,9619,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material",526671.99,526671.99,6696187.65,-92.13474864313278,0.13074945717506928,90.0,90.0,1134.0,-92.06349206349206,0.7894390596903644,18,18,175.0,-89.71428571428571,0.3672719853091206,45,45,566.0,-92.04946996466431,0.6445144657691206,0,0,0.0,0.0,0.0
BRAZIL,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,510325.06,510325.06,1856059.6099999999,-72.50492078753871,0.12669123447752492,38.0,38.0,137.25,-72.31329690346084,0.3333187140914872,11,11,37.0,-70.27027027027027,0.22444399102224036,19,19,68.0,-72.05882352941177,0.27212832999140646,0,0,0.0,0.0,0.0
BRAZIL,2205,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",501434.26,501434.26,2445161.3,-79.49279419725806,0.124484040444191,36.0,36.0,181.75,-80.19257221458047,0.3157756238761458,14,14,75.0,-81.33333333333333,0.28565598857376046,18,18,89.0,-79.7752808988764,0.2578057863076482,0,0,0.0,0.0,0.0
FRANCE,9999,Commodities not specified according to kind,486669.0,486669.0,2557137.58,-80.96821212099194,0.12081847674096698,50.75,50.75,338.0,-84.98520710059172,0.44515591421428885,25,25,142.0,-82.3943661971831,0.5100999795960008,25,25,154.0,-83.76623376623377,0.3580635920939559,0,0,0.0,0.0,0.0
EGYPT,7220,Stainless steel; flat-rolled products of width less than 600mm,474940.0,474940.0,,,0.1179066826597849,0.0,0.0,,,0.0,1,1,,,0.020403999183840033,0,0,,,0.0,1,1,,,0.06489292667099286
INDIA,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars; side-cars",471182.98,471182.98,1283921.0,-63.301248285525354,0.11697398007653972,96.0,96.0,266.0,-63.909774436090224,0.8420683303363887,28,28,79.0,-64.55696202531645,0.5713119771475209,48,48,133.0,-63.909774436090224,0.6874820968203953,0,0,0.0,0.0,0.0
USA,1103,Cereal groats; meal and pellets,453600.0,453600.0,2627537.16,-82.73668563454302,0.11260890060739974,20.0,20.0,116.0,-82.75862068965517,0.17543090215341434,4,4,14.0,-71.42857142857143,0.08161599673536013,20,20,116.0,-82.75862068965517,0.2864508736751647,0,0,0.0,0.0,0.0
DOMINICAN REPUBLIC,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,447940.8,447940.8,8306673.6,-94.60745875460907,0.11120397051410742,17.0,17.0,312.0,-94.55128205128206,0.1491162668304022,2,2,94.0,-97.87234042553192,0.040807998367680065,17,17,312.0,-94.55128205128206,0.24348324262389,0,0,0.0,0.0,0.0
POLAND,0203,"Meat of swine; fresh, chilled or frozen",445827.55,445827.55,2191005.05,-79.65191590955027,0.1106793436199086,32.0,32.0,170.5,-81.2316715542522,0.2806894434454629,14,14,74.0,-81.08108108108108,0.28565598857376046,16,16,78.0,-79.48717948717949,0.22916069894013177,0,0,0.0,0.0,0.0
CHINA,3306,"Oral or dental hygiene preparations; including fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages",442022.8,442022.8,2545342.9899999998,-82.63405750279652,0.10973479177999236,36.0,36.0,198.0,-81.81818181818181,0.3157756238761458,9,9,51.0,-82.3529411764706,0.1836359926545603,18,18,99.0,-81.81818181818181,0.2578057863076482,0,0,0.0,0.0,0.0
