Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac,country
ROTTERDAM,27758365.939999998,21533777.07,28.906163789871524,0.678409814020191,1834.5,1412.25,29.899097185342537,1.8078166265915092,410,296.0,38.513513513513516,0.9442218230390124,1303,1030.0,26.50485436893204,2.217570373395963,0,0.0,0.0,0.0,NETHERLANDS
NHAVA SHEVA,27190906.77,21031310.82,29.287741514154465,0.6645412069553563,2214.5,1702.25,30.09252459979439,2.182289408333005,611,375.0,62.93333333333333,1.407120814333748,1157,882.0,31.179138321995463,1.9690935702372445,0,0.0,0.0,0.0,INDIA
YANTIAN,26193380.67,14315998.5,82.96579641301305,0.6401618361579524,2690.0,1423.0,89.03724525650036,2.6508731128542706,1001,488.0,105.12295081967213,2.305283036248906,1406,744.0,88.97849462365592,2.392865652336703,1,6.0,-83.33333333333334,0.00801346261719689,CHINA
MOBILE - AL,25522987.01,18562246.65,37.49944977700209,0.6237775273991454,13.5,6.0,125.0,0.013303638298711026,32,27.0,18.51851851851852,0.07369536179816683,6,3.0,100.0,0.010211375472276116,30,26.0,15.384615384615385,0.24040387851590675,USA
XIAMEN,25316853.69,18433413.44,37.34218989014332,0.6187396635858778,2585.0,1878.25,37.62811127379209,2.547400370530963,563,412.0,36.650485436893206,1.2965777716364975,1445,1079.0,33.92029657089898,2.459239592906498,0,0.0,0.0,0.0,CHINA
PARANAGUA,24357707.64,18080366.95,34.71910004569902,0.5952982947817781,1829.5,1094.75,67.11577985841515,1.8028893531475423,684,395.0,73.16455696202532,1.575238358435816,879,569.0,54.48154657293497,1.4959665066884509,1,3.0,-66.66666666666666,0.00801346261719689,BRAZIL
PUERTO CORTES,24306955.61,30524177.39,-20.368187815724134,0.5940579236695926,1617.75,1851.0,-12.601296596434361,1.5942193227955377,130,243.0,-46.50205761316872,0.29938740730505276,996,1288.0,-22.67080745341615,1.695088328397835,0,0.0,0.0,0.0,HONDURAS
BELAWAN,23196213.45,27863246.12,-16.749780875854395,0.5669115713295894,1001.0,1181.0,-15.241320914479257,0.9864401434822028,113,135.0,-16.296296296296298,0.2602367463497766,920,1101.0,-16.439600363306088,1.5657442390823377,0,0.0,0.0,0.0,INDONESIA
ACAJUTLA,22906015.93,22096639.31,3.662894654001578,0.5598191925491575,127.0,292.0,-56.5068493150685,0.12515274547676297,22,20.0,10.0,0.0506655612362397,87,287.0,-69.68641114982579,0.14806494434800366,6,4.0,50.0,0.048080775703181346,EL SALVADOR
NANSHA,19047705.87,8183666.73,132.75270729408112,0.46552274095346124,1839.5,822.25,123.71541501976284,1.8127439000354764,726,340.0,113.52941176470588,1.6719635207959098,928,416.0,123.07692307692308,1.579359406378706,0,0.0,0.0,0.0,CHINA
ANTWERP,18581589.7,14709767.13,26.32144027694066,0.454130939833575,1492.0,1206.25,23.68911917098446,1.4702983956797666,307,230.0,33.47826086956522,0.7070148772511631,749,628.0,19.26751592356688,1.2747200381224684,0,0.0,0.0,0.0,BELGIUM
CARTAGENA,18047054.99,49808306.26,-63.766977146755124,0.441067001056261,1416.25,284.75,397.36611062335385,1.395650203003666,458,102.0,349.01960784313724,1.0547648657362627,808,163.0,395.7055214723926,1.3751318969331836,1,9.0,-88.88888888888889,0.00801346261719689,COLOMBIA
LE HAVRE,15099094.49,16354563.31,-7.676565837941657,0.36901934022252436,1597.0,1702.25,-6.182993097371126,1.5737711380030748,585,594.0,-1.5151515151515151,1.3472433328727373,743,774.0,-4.0051679586563305,1.2645086626501922,0,0.0,0.0,0.0,FRANCE
IZMIR,12456110.86,72473600.03999999,-82.81289896855523,0.304425263007664,76.0,67.0,13.432835820895523,0.0748945563482991,14,23.0,-39.130434782608695,0.032241720786697986,34,49.0,-30.612244897959183,0.057864461009564654,2,6.0,-66.66666666666666,0.01602692523439378,TURKEY
NEW YORK,12409417.55,21898466.03,-43.332023654078746,0.30328408633243903,1624.25,1485.75,9.321891300689886,1.600624778272695,751,777.0,-3.346203346203346,1.7295380222007277,832,724.0,14.917127071823206,1.4159773988222881,3,138.0,-97.82608695652173,0.024040387851590673,USA
