country,hs_code,hs_description,metric,current_value,prior_value,yoy_pct,abs_delta,is_ath
BRAZIL,4412,"Plywood, veneered panels and similar laminated wood",weight_kg,5338586.24,1904073.8199999998,180.38,3434512.4200000004,False
USA,8716,"Trailers and semi-trailers; other vehicles, not mechanically propelled; parts thereof",weight_kg,505170.08999999997,3855955.54,-86.9,3350785.45,False
USA,8703,Motor cars and other motor vehicles; principally designed for the transport of persons (other than t,weight_kg,6037672.369999999,2758173.21,118.9,3279499.159999999,False
COLOMBIA,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gal",weight_kg,3278251.5,0.0,0.0,3278251.5,True
BELGIUM,1107,Malt; whether or not roasted,weight_kg,8266332.37,5075748.08,62.86,3190584.29,True
CHINA,7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the c",weight_kg,4255333.45,1127978.51,277.25,3127354.9400000004,False
BARBADOS,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solut,weight_kg,3005103.0,0.0,0.0,3005103.0,False
INDONESIA,1516,"Animal or vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterifi",weight_kg,11751612.45,14601366.0,-19.52,2849753.5500000007,False
CHINA,8714,Vehicles; parts and accessories of heading no. 8711 to 8713,weight_kg,7169825.95,4322664.109999999,65.87,2847161.840000001,True
DOMINICAN REPUBLIC,9999,Commodities not specified according to kind,weight_kg,3656544.11,809855.51,351.51,2846688.5999999996,False
DOMINICAN REPUBLIC,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solut,weight_kg,8306673.6,5541448.8,49.9,2765224.8,True
CHINA,7317,"Nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, ",weight_kg,5117308.26,2432308.8000000003,110.39,2684999.4599999995,False
NETHERLANDS,0203,"Meat of swine; fresh, chilled or frozen",weight_kg,4275573.88,1705797.87,150.65,2569776.01,True
INDIA,2203,Beer made from malt,weight_kg,10809261.84,8336749.2700000005,29.66,2472512.5699999994,True
CHINA,7217,Wire of iron or non-alloy steel,weight_kg,3578790.0,1200010.01,198.23,2378779.99,False
USA,1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; bu",weight_kg,2906606.6100000003,540329.1499999999,437.93,2366277.4600000004,False
MALAYSIA,1516,"Animal or vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterifi",weight_kg,2270516.0,4635886.36,-51.02,2365370.3600000003,False
UNITED ARAB EMIRATES,8703,Motor cars and other motor vehicles; principally designed for the transport of persons (other than t,weight_kg,132816.52000000002,2489684.0,-94.67,2356867.48,False
