country,hs_code,hs_desc,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac,anomaly_score_weight_kg,is_anomaly_weight_kg,zscore_weight_kg,is_significant_weight_kg,hs_chapter
CHINA,8201,"Tools, hand; spades, shovels, mattocks, picks, hoes, forks, rakes; axes, bill hooks etc; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools us",357018.0,357018.0,199311.6,79.12555014359425,0.0087254601191362,32.0,32.0,17.0,88.23529411764706,0.031534550041389,13,13,8.0,62.5,0.0299387407305052,16,16,10.0,60.0,0.0272303345927363,0,0,0.0,0.0,0.0,-0.3374252027483734,1,0.034615922775602055,False,82
COLOMBIA,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",355289.0,355289.0,141760.0,150.62711625282168,0.0086832036487454,25.0,25.0,8.0,212.5,0.0246363672198352,14,14,6.0,133.33333333333334,0.0322417207866979,14,14,8.0,75.0,0.0238265427686442,0,0,0.0,0.0,0.0,-0.3422483370137591,1,0.033713127033231434,False,20
MEXICO,7307,"Tube or pipe fittings (e.g. couplings, elbows, sleeves), of iron or steel",353867.0,353867.0,84671.0,317.931759398141,0.0086484502069318,34.0,34.0,8.0,325.0,0.0335054594189759,10,10,2.0,400.0,0.0230298005619271,17,17,4.0,325.0,0.0289322305047823,0,0,0.0,0.0,0.0,-0.349521583912697,1,0.0316006989043189,False,73
VIETNAM,906,Cinnamon and cinnamon-tree flowers,352999.0,352999.0,459213.4,-23.129638638593736,0.0086272364323226,42.0,42.0,58.0,-27.58620689655172,0.0413890969293231,13,13,17.0,-23.529411764705884,0.0299387407305052,21,21,27.0,-22.22222222222222,0.0357398141529664,0,0,0.0,0.0,0.0,-0.3348958486644645,1,0.03590702105625847,False,90
USA,2823,Titanium oxides,351780.0,351780.0,227600.0,54.560632688927946,0.0085974442765063,17.0,17.0,12.0,41.66666666666666,0.0167527297094879,17,17,11.0,54.54545454545455,0.0391506609552761,17,17,11.0,54.54545454545455,0.0289322305047823,0,0,0.0,0.0,0.0,-0.3358375734900181,1,0.03492608525310473,False,28
FRANCE,2106,Food preparations not elsewhere specified or included,344677.80000000005,344677.80000000005,346909.74,-0.6433777270133563,0.0084238676981318,33.25,33.25,30.5,9.01639344262295,0.0327663684023808,15,15,29.0,-48.27586206896552,0.0345447008428907,16,16,16.0,0.0,0.0272303345927363,0,0,13.0,-100.0,0.0,-0.33414072644567855,1,0.03562310418957336,False,21
CHINA,8421,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus for liquids or gases",343660.13,343660.13,180171.13,90.7409527819468,0.0083989960137925,61.0,61.0,38.0,60.526315789473685,0.0601127360163979,19,19,7.0,171.42857142857142,0.0437566210676615,32,32,19.0,68.42105263157895,0.0544606691854726,0,0,0.0,0.0,0.0,-0.3392149110804585,1,0.034469263945335234,False,84
DOMINICAN REPUBLIC,8704,Vehicles; for the transport of goods,337938.0,337938.0,57210.0,490.69743051914,0.0082591481150549,0.0,0.0,0.0,0.0,0.0,15,15,3.0,400.0,0.0345447008428907,0,0,0.0,0.0,0.0,15,15,3.0,400.0,0.1202019392579533,-0.3638485099832541,1,0.02941931854018009,False,87
DOMINICAN REPUBLIC,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",337819.0,337819.0,35660.0,847.3331463825014,0.0082562397749875,0.0,0.0,0.0,0.0,0.0,28,28,4.0,600.0,0.0644834415733959,0,0,0.0,0.0,0.0,28,28,4.0,600.0,0.2243769532815129,-0.3946480085199107,1,0.024916351355281023,False,87
EGYPT,2839,Silicates; commercial alkali metal silicates,336720.0,336720.0,788400.0,-57.29071537290715,0.008229380399071,12.0,12.0,29.0,-58.62068965517241,0.0118254562655209,3,3,4.0,-25.0,0.0069089401685781,12,12,29.0,-58.62068965517241,0.0204227509445522,0,0,0.0,0.0,0.0,-0.339650785515512,1,0.03633834691817625,False,28
TURKEY,2106,Food preparations not elsewhere specified or included,335123.72000000003,335123.72000000003,380671.4,-11.965091152106512,0.0081903675832495,25.5,25.5,34.0,-25.0,0.0251290945642319,7,7,9.0,-22.22222222222222,0.0161208603933489,15,15,17.0,-11.764705882352942,0.0255284386806902,0,0,0.0,0.0,0.0,-0.3362440309881634,1,0.03576605483013556,False,21
INDIA,6704,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair or of textile materials; articles of human hair, n.e.c. or included",333653.36,333653.36,109226.1,205.47035919070623,0.0081544322311362,24.0,24.0,8.5,182.35294117647055,0.0236509125310418,12,12,4.0,200.0,0.0276357606743125,12,12,4.0,200.0,0.0204227509445522,0,0,0.0,0.0,0.0,-0.34547849233393835,1,0.033020663232557694,False,67
DOMINICAN REPUBLIC,6309,Textiles; worn clothing and other worn articles,333535.93999999994,333535.93999999994,21257.0,1469.064025967916,0.0081515625060042,34.25,34.25,2.0,1612.5,0.0337518230911742,17,17,1.0,1600.0,0.0391506609552761,17,17,1.0,1600.0,0.0289322305047823,0,0,0.0,0.0,0.0,-0.43338339301260226,1,0.017066229721125377,False,63
USA,3926,"Articles of plastics and articles of other materials of heading no. 3901 to 3914, n.e.c. in chapter 39",331957.39,331957.39,324440.03,2.317026046385209,0.0081129830084129,44.0,44.0,33.0,33.333333333333336,0.04336000630691,26,26,43.0,-39.53488372093023,0.0598774814610105,26,26,19.0,36.8421052631579,0.0442492937131965,5,5,29.0,-82.75862068965517,0.0400673130859844,-0.3369453123580687,1,0.03558572542897056,False,39
THAILAND,4011,"New pneumatic tyres, of rubber",331626.8,331626.8,159365.0,108.09261757600476,0.008104903444187,96.0,96.0,33.0,190.9090909090909,0.0946036501241672,27,27,15.0,80.0,0.0621804615172032,48,48,16.0,200.0,0.0816910037782089,0,0,0.0,0.0,0.0,-0.3408122513696501,1,0.03425017770776685,False,40
VIETNAM,8529,Transmission apparatus; parts suitable for use solely or principally with the apparatus of heading no. 8525 to 8528,329945.51,329945.51,174935.46000000002,88.60985074152488,0.0080638129982047,68.0,68.0,39.0,74.35897435897436,0.0670109188379518,3,3,3.0,0.0,0.0069089401685781,34,34,20.0,70.0,0.0578644610095646,0,0,0.0,0.0,0.0,-0.3399606720605206,1,0.03449617174544847,False,85
MEXICO,8506,Cells and batteries; primary,329257.5,329257.5,205066.0,60.56172159207279,0.0080469981490471,31.75,31.75,15.0,111.66666666666669,0.0312881863691907,14,14,7.0,100.0,0.0322417207866979,16,16,10.0,60.0,0.0272303345927363,0,0,0.0,0.0,0.0,-0.3396031016930945,1,0.03485031408044159,False,85
CANADA,8710,"Tanks and other armoured fighting vehicles; motorised, whether or not fitted with weapons, and parts of such vehicles",327447.53,327447.53,127008.0,157.81646038044852,0.0080027627854188,48.0,48.0,0.0,4800.0,0.0473018250620836,2,2,2.0,0.0,0.0046059601123854,23,23,0.0,2300.0,0.0391436059770584,0,0,2.0,-100.0,0.0,-0.3450137022616942,1,0.03362235266810853,False,87
TURKEY,9619,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material",326937.88,326937.88,282446.38,15.752193389768353,0.0079903070247857,64.0,64.0,58.25,9.871244635193133,0.0630691000827781,5,5,8.0,-37.5,0.0115149002809635,32,32,29.0,10.344827586206897,0.0544606691854726,0,0,0.0,0.0,0.0,-0.3351099485031615,1,0.0354160898176734,False,96
USA,2507,Kaolin and other kaolinic clays; whether or not calcined,324872.0,324872.0,230499.0,40.9429108152313,0.0079398172636226,27.0,27.0,26.5,1.8867924528301887,0.026607276597422,9,9,6.0,50.0,0.0207268205057344,14,14,10.0,40.0,0.0238265427686442,0,0,0.0,0.0,0.0,-0.33563243174119467,1,0.035098025841225275,False,25
PANAMA,5603,"Nonwovens; whether or not impregnated, coated, covered or laminated",324820.0,324820.0,110000.0,195.29090909090908,0.0079385463923327,28.0,28.0,8.0,250.0,0.0275927312862154,8,8,4.0,100.0,0.0184238404495417,14,14,4.0,250.0,0.0238265427686442,0,0,0.0,0.0,0.0,-0.3452448253707222,1,0.03314919138529399,False,56
CHINA,2833,Sulphates; alums; peroxosulphates (persulphates),324648.0,324648.0,2328690.0,-86.05877124048284,0.0079343427411428,12.0,12.0,86.0,-86.04651162790698,0.0118254562655209,1,1,9.0,-88.88888888888889,0.0023029800561927,12,12,86.0,-86.04651162790698,0.0204227509445522,0,0,0.0,0.0,0.0,-0.34857040114152366,1,0.03670157921876464,False,28
NETHERLANDS,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,323049.0,323049.0,242824.0,33.0383322900537,0.0078952634489769,13.0,13.0,10.0,30.0,0.0128109109543143,7,7,6.0,16.666666666666668,0.0161208603933489,13,13,10.0,30.0,0.0221246468565982,0,0,0.0,0.0,0.0,-0.33563243174119467,1,0.03519783092559032,False,25
USA,2849,"Carbides, whether or not chemically defined",322091.12,322091.12,246075.67,30.89108728221689,0.0078718530222227,18.0,18.0,14.0,28.571428571428573,0.0177381843982813,18,18,14.0,28.571428571428573,0.0414536410114688,18,18,14.0,28.571428571428573,0.0306341264168283,0,0,0.0,0.0,0.0,-0.33563243174119467,1,0.03522494255064117,False,28
MALAYSIA,4809,"Carbon paper, self copy paper, and other copying or transfer papers (including coated or impregnated paper for duplicator stencils or offset plates), whether or not printed, in rolls or sheets",310590.52,310590.52,388557.45,-20.06574060026387,0.0075907802845845,24.0,24.0,30.0,-20.0,0.0236509125310418,2,2,2.0,0.0,0.0046059601123854,12,12,15.0,-20.0,0.0204227509445522,0,0,0.0,0.0,0.0,-0.33674230416593853,1,0.035868335552505494,False,48
TAIWAN,6309,Textiles; worn clothing and other worn articles,307587.0,307587.0,49740.0,518.3896260554885,0.007517374758877,24.0,24.0,4.0,500.0,0.0236509125310418,12,12,2.0,500.0,0.0276357606743125,12,12,2.0,500.0,0.0204227509445522,0,0,0.0,0.0,0.0,-0.36912969029195697,1,0.029069670307455806,False,63
INDIA,3901,"Polymers of ethylene, in primary forms",306319.87,306319.87,27898.0,997.9993906373217,0.0074864063139225,14.0,14.0,2.0,600.0,0.0137963656431077,3,3,2.0,50.0,0.0069089401685781,13,13,2.0,550.0,0.0221246468565982,0,0,0.0,0.0,0.0,-0.4071025825816001,1,0.023014003599367037,False,39
TRINIDAD AND TOBAGO,2804,"Hydrogen, rare gases and other non-metals",306054.0,306054.0,176500.01,73.40168989225553,0.007479908495656,16.0,16.0,11.0,45.45454545454545,0.0157672750206945,11,11,6.0,83.33333333333333,0.0253327806181198,15,15,9.0,66.66666666666667,0.0255284386806902,0,0,0.0,0.0,0.0,-0.34003789198611145,1,0.03468819359351588,False,28
MEXICO,1704,"Sugar confectionery (including white chocolate), not containing cocoa",300450.87,300450.87,143126.71,109.91949720635652,0.0073429689369857,34.0,34.0,16.0,112.5,0.0335054594189759,16,16,8.0,100.0,0.0368476808990834,17,17,8.0,112.5,0.0289322305047823,0,0,0.0,0.0,0.0,-0.3434744975694354,1,0.034227111092000904,False,17
