Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac,country
JIUJIANG,1071754.8,1635249.41,-34.459245577712814,0.2554868716069447,111.0,214.0,-48.13084112149533,0.9585906127207565,27,86.0,-68.6046511627907,0.5434782608695652,62,108.0,-42.592592592592595,0.8757062146892656,0,0.0,0.0,0.0,CHINA
PARAMARIBO,1040000.0,4214500.0,-75.32328864634002,0.2479171042399087,40.0,196.0,-79.59183673469387,0.34543805863811045,4,22.0,-81.81818181818183,0.08051529790660225,40,161.0,-75.15527950310559,0.5649717514124294,0,0.0,0.0,0.0,SURINAME
SHEKOU,1028066.57,3029567.72,-66.06556891885553,0.24507239134639944,124.0,332.5,-62.70676691729323,1.0708579817781423,47,123.0,-61.78861788617886,0.9460547504025765,61,176.0,-65.3409090909091,0.8615819209039548,0,0.0,0.0,0.0,CHINA
NORFOLK - VA,981452.63,7347378.92,-86.64213945290847,0.23396047497907935,73.0,614.75,-88.12525416836112,0.6304244570145515,19,192.0,-90.10416666666666,0.38244766505636074,36,297.0,-87.87878787878788,0.5084745762711864,0,0.0,0.0,0.0,USA
SAINT JOHN,901250.0,3777189.03,-76.13966383885214,0.21484162518867086,169.0,572.5,-70.48034934497817,1.4594757977460167,85,275.0,-69.0909090909091,1.710950080515298,85,287.0,-70.38327526132404,1.2005649717514124,0,0.0,0.0,0.0,CANADA
KAOHSIUNG,797444.0,10888272.8,-92.67612031175413,0.190096160839894,47.0,637.0,-92.62166405023548,0.4058897188997798,5,69.0,-92.7536231884058,0.10064412238325281,45,593.0,-92.4114671163575,0.6355932203389831,0,0.0,0.0,0.0,TAIWAN
PORT SAID,698153.58,38837782.03,-98.20238555471393,0.16642712871954368,58.0,160.75,-63.91912908242613,0.5008851850252601,11,62.0,-82.25806451612904,0.22141706924315618,33,77.0,-57.14285714285714,0.46610169491525427,0,3.0,-100.0,0.0,EGYPT
POINT LISAS,640169.99,909984.49,-29.650450415918627,0.1526048943673955,61.0,64.0,-4.6875,0.5267930394231185,11,39.0,-71.7948717948718,0.22141706924315618,36,50.0,-28.000000000000004,0.5084745762711864,0,0.0,0.0,0.0,TRINIDAD AND TOBAGO
HALDIA,626120.03,5303640.4,-88.19452333155921,0.14925563917711998,24.0,216.0,-88.88888888888889,0.20726283518286626,2,25.0,-92.0,0.040257648953301126,24,204.0,-88.23529411764706,0.3389830508474576,0,0.0,0.0,0.0,INDIA
MOBILE - AL,603373.98,25522987.01,-97.63595859777855,0.1438333941301044,0.0,13.5,-100.0,0.0,4,32.0,-87.5,0.08051529790660225,0,6.0,-100.0,0.0,4,30.0,-86.66666666666667,0.25773195876288657,USA
COLON,600782.5,69995425.56,-99.1416831954468,0.14321563238270477,31.0,502.75,-93.83391347588265,0.26771449544453557,6,198.0,-96.96969696969697,0.12077294685990338,24,251.0,-90.43824701195219,0.3389830508474576,0,11.0,-100.0,0.0,PANAMA
WILMINGTON - NC,589660.09,4181167.29,-85.89723756305384,0.14056425192177302,42.0,302.0,-86.09271523178808,0.36270996157001595,10,87.0,-88.50574712643679,0.20128824476650561,21,149.0,-85.90604026845638,0.2966101694915254,0,0.0,0.0,0.0,USA
PIPAVAV,584409.98,594246.51,-1.6552945342497725,0.13931272108702206,21.0,54.0,-61.111111111111114,0.18135498078500797,3,17.0,-82.35294117647058,0.06038647342995169,21,28.0,-25.0,0.2966101694915254,0,0.0,0.0,0.0,INDIA
OAKLAND - CA,577375.72,842473.37,-31.466591044889647,0.13763588130849264,35.0,63.25,-44.66403162055336,0.30225830130834663,7,21.0,-66.66666666666666,0.14090177133655393,24,40.0,-40.0,0.3389830508474576,0,0.0,0.0,0.0,USA
RIO GRANDE,559559.65,4937286.51,-88.6666562925472,0.13338885392067004,40.5,401.5,-89.91282689912828,0.3497560343710868,8,140.0,-94.28571428571428,0.1610305958132045,20,187.0,-89.3048128342246,0.2824858757062147,0,0.0,0.0,0.0,BRAZIL
BUSAN,547473.46,5055055.47,-89.16978333375242,0.1305077258186572,46.0,477.5,-90.36649214659685,0.397253767433827,26,172.0,-84.88372093023256,0.5233494363929146,31,270.0,-88.51851851851852,0.4378531073446328,0,0.0,0.0,0.0,SOUTH KOREA
VALENCIA,505360.92000000004,3593303.3,-85.93603495702686,0.12046886142540016,46.0,241.0,-80.91286307053942,0.397253767433827,11,81.0,-86.41975308641975,0.22141706924315618,24,166.0,-85.54216867469879,0.3389830508474576,0,0.0,0.0,0.0,SPAIN
GDANSK,470179.55,2538732.66,-81.4797533663903,0.11208226202771476,34.0,180.0,-81.11111111111111,0.2936223498423939,15,72.0,-79.16666666666666,0.30193236714975846,17,93.0,-81.72043010752688,0.2401129943502825,0,0.0,0.0,0.0,POLAND
SURABAYA,443024.25,4849728.3,-90.86496763127947,0.10560893189236287,34.0,287.0,-88.15331010452961,0.2936223498423939,8,64.0,-87.5,0.1610305958132045,20,196.0,-89.79591836734694,0.2824858757062147,0,0.0,0.0,0.0,INDONESIA
PORT-AU-PRINCE,422401.18,1509255.3800000001,-72.01261061597144,0.1006927667049235,40.0,138.0,-71.01449275362319,0.34543805863811045,6,17.0,-64.70588235294117,0.12077294685990338,22,77.0,-71.42857142857143,0.3107344632768362,0,0.0,0.0,0.0,HAITI
WUHAN,346014.0,458009.99,-24.452739557056386,0.08248345087160364,26.0,40.0,-35.0,0.2245347381147718,5,12.0,-58.333333333333336,0.10064412238325281,13,21.0,-38.095238095238095,0.18361581920903955,0,0.0,0.0,0.0,CHINA
JEBEL ALI,341028.3,2380036.65,-85.67130048186442,0.08129495057678736,35.0,246.25,-85.78680203045685,0.30225830130834663,14,95.0,-85.26315789473684,0.28180354267310787,18,130.0,-86.15384615384616,0.2542372881355932,0,0.0,0.0,0.0,UNITED ARAB EMIRATES
SHANTOU,290127.19,1159317.23,-74.97430535040009,0.06916105077505942,32.0,162.0,-80.24691358024691,0.2763504469104884,8,56.0,-85.71428571428571,0.1610305958132045,16,85.0,-81.17647058823529,0.22598870056497175,0,0.0,0.0,0.0,CHINA
DAKAR,274126.0,1458355.99,-81.20308060036837,0.06534665780468193,20.0,105.0,-80.95238095238095,0.17271902931905522,3,26.0,-88.46153846153845,0.06038647342995169,10,53.0,-81.13207547169812,0.14124293785310735,0,0.0,0.0,0.0,SENEGAL
LAEM CHABANG,262016.71,1209165.28,-78.33077790655716,0.062460023082373,56.0,191.0,-70.68062827225131,0.4836132820933547,9,46.0,-80.43478260869566,0.18115942028985507,28,99.0,-71.71717171717171,0.39548022598870053,0,0.0,0.0,0.0,THAILAND
PISCO,254515.0,1159400.0,-78.04769708469898,0.060671751716942654,18.0,106.0,-83.01886792452831,0.15544712638714972,9,41.0,-78.04878048780488,0.18115942028985507,9,41.0,-78.04878048780488,0.1271186440677966,0,0.0,0.0,0.0,PERU
PORT KLANG,248674.16999999998,5250187.59,-95.26351838411168,0.05927940396698344,20.0,308.0,-93.5064935064935,0.17271902931905522,5,79.0,-93.67088607594937,0.10064412238325281,10,222.0,-95.4954954954955,0.14124293785310735,0,0.0,0.0,0.0,MALAYSIA
BARCELONA,242940.99,872473.44,-72.15491281889338,0.057912718021131356,24.25,62.5,-61.199999999999996,0.20942182304935444,11,41.0,-73.17073170731707,0.22141706924315618,12,42.0,-71.42857142857143,0.1694915254237288,0,0.0,0.0,0.0,SPAIN
JIANGMEN,225092.8,757394.36,-70.28063425241245,0.05365803380889704,23.0,78.0,-70.51282051282051,0.1986268837169135,9,35.0,-74.28571428571429,0.18115942028985507,12,38.0,-68.42105263157895,0.1694915254237288,0,0.0,0.0,0.0,CHINA
CHARLESTON - SC,223733.78999999998,2567004.13,-91.28424503158084,0.05333407051674985,16.0,188.0,-91.48936170212765,0.1381752234552442,5,75.0,-93.33333333333333,0.10064412238325281,8,94.0,-91.48936170212765,0.11299435028248588,0,0.0,0.0,0.0,USA
SUAPE,209499.36,10091864.33,-97.92407673003271,0.04994084103010977,8.0,42.5,-81.17647058823529,0.0690876117276221,2,27.0,-92.5925925925926,0.040257648953301126,8,32.0,-75.0,0.11299435028248588,0,11.0,-100.0,0.0,BRAZIL
HALIFAX,198350.0,3728797.52,-94.68059075516656,0.04728303617883259,20.25,510.5,-96.03330068560236,0.1748780171855434,10,212.0,-95.28301886792453,0.20128824476650561,10,257.0,-96.10894941634241,0.14124293785310735,0,0.0,0.0,0.0,CANADA
ENNORE,197083.56,1362729.23,-85.53758474821883,0.04698113989278106,36.0,168.75,-78.66666666666666,0.31089425277429944,17,74.0,-77.02702702702703,0.3421900161030596,18,85.0,-78.82352941176471,0.2542372881355932,0,0.0,0.0,0.0,INDIA
FUZHOU,191675.02,1415949.75,-86.46314814491122,0.04569184222454479,17.0,85.0,-80.0,0.14681117492119694,8,30.0,-73.33333333333333,0.1610305958132045,9,60.0,-85.0,0.1271186440677966,0,0.0,0.0,0.0,CHINA
VERACRUZ,170861.54,2503308.69,-93.17457169055726,0.04073028675266474,24.25,297.75,-91.85558354324097,0.20942182304935444,12,104.0,-88.46153846153845,0.24154589371980675,15,149.0,-89.93288590604027,0.211864406779661,0,0.0,0.0,0.0,MEXICO
IMBITUBA,169529.99,3620384.26,-95.31734816458405,0.040412869425596805,12.0,284.0,-95.77464788732394,0.10363141759143313,6,120.0,-95.0,0.12077294685990338,6,141.0,-95.74468085106383,0.0847457627118644,0,0.0,0.0,0.0,BRAZIL
SAMSUN,168371.0,1563445.0,-89.23076923076924,0.040136587267286215,7.0,65.0,-89.23076923076924,0.060451660261669336,2,12.0,-83.33333333333334,0.040257648953301126,7,65.0,-89.23076923076924,0.09887005649717513,0,0.0,0.0,0.0,TURKEY
BUENOS AIRES,167916.95,2598188.62,-93.53715320329592,0.04002834999692071,9.0,175.25,-94.8644793152639,0.07772356319357486,3,33.0,-90.9090909090909,0.06038647342995169,7,104.0,-93.26923076923077,0.09887005649717513,0,0.0,0.0,0.0,ARGENTINA
TUTICORIN,153523.91999999998,1400330.88,-89.03659683631344,0.03659731315188404,16.0,164.0,-90.2439024390244,0.1381752234552442,5,56.0,-91.07142857142857,0.10064412238325281,9,75.0,-88.0,0.1271186440677966,0,0.0,0.0,0.0,INDIA
BASSENS,152429.56,572134.55,-73.35774251004419,0.03633643761131097,17.0,69.0,-75.36231884057972,0.14681117492119694,7,31.0,-77.41935483870968,0.14090177133655393,11,46.0,-76.08695652173914,0.1553672316384181,0,0.0,0.0,0.0,FRANCE
ALTAMIRA,152085.4,3746949.6,-95.9410876516727,0.03625439612035405,21.75,385.0,-94.35064935064935,0.18783194438447257,10,114.0,-91.22807017543859,0.20128824476650561,11,216.0,-94.9074074074074,0.1553672316384181,0,2.0,-100.0,0.0,MEXICO
CHONGQING,151927.0,1128124.89,-86.53278539045442,0.03621663643832366,14.0,222.0,-93.69369369369369,0.12090332052333867,4,76.0,-94.73684210526315,0.08051529790660225,7,78.0,-91.02564102564102,0.09887005649717513,0,17.0,-100.0,0.0,CHINA
DALIAN,144092.18,3146465.32,-95.42050633502612,0.03434895770116893,9.0,185.0,-95.13513513513514,0.07772356319357486,5,64.0,-92.1875,0.10064412238325281,6,148.0,-95.94594594594594,0.0847457627118644,0,0.0,0.0,0.0,CHINA
SEMARANG,141675.0,841024.7,-83.15447810272397,0.03377274590691256,10.0,58.0,-82.75862068965517,0.08635951465952761,3,17.0,-82.35294117647058,0.06038647342995169,5,30.0,-83.33333333333334,0.07062146892655367,0,0.0,0.0,0.0,INDONESIA
FREDRIKSTAD,134940.0,642724.0,-79.00498503245561,0.032167244275128154,10.0,51.25,-80.48780487804879,0.08635951465952761,5,24.0,-79.16666666666666,0.10064412238325281,5,24.0,-79.16666666666666,0.07062146892655367,0,0.0,0.0,0.0,NORWAY
VENICE,133220.0,158590.0,-15.997225550160794,0.031757227525808306,10.0,12.0,-16.666666666666664,0.08635951465952761,4,6.0,-33.33333333333333,0.08051529790660225,5,6.0,-16.666666666666664,0.07062146892655367,0,0.0,0.0,0.0,ITALY
YOKOHAMA,129687.0,269853.09,-51.941628683962826,0.030915024516885613,22.0,83.25,-73.57357357357357,0.18999093225096075,6,17.0,-64.70588235294117,0.12077294685990338,11,43.0,-74.4186046511628,0.1553672316384181,0,0.0,0.0,0.0,JAPAN
HO CHI MINH,127860.0,2992718.55,-95.72763031792616,0.030479500911648773,10.0,256.0,-96.09375,0.08635951465952761,3,64.0,-95.3125,0.06038647342995169,5,136.0,-96.32352941176471,0.07062146892655367,0,0.0,0.0,0.0,VIETNAM
CHENNAI,120054.77,703852.73,-82.9431975066716,0.028618875892873333,18.0,71.0,-74.64788732394366,0.15544712638714972,9,26.0,-65.38461538461539,0.18115942028985507,9,36.0,-75.0,0.1271186440677966,0,0.0,0.0,0.0,INDIA
IZMIR,117779.95999999999,12456110.86,-99.05444033596213,0.028076602519896417,33.25,76.0,-56.25,0.28714538624292935,4,14.0,-71.42857142857143,0.08051529790660225,15,34.0,-55.88235294117647,0.211864406779661,0,2.0,-100.0,0.0,TURKEY
ALGECIRAS,114967.91,382729.67,-69.96106677593092,0.02740626089203312,30.0,125.0,-76.0,0.2590785439785828,11,46.0,-76.08695652173914,0.22141706924315618,18,74.0,-75.67567567567568,0.2542372881355932,0,0.0,0.0,0.0,SPAIN
ITAPOA,110228.04000000001,1733212.63,-93.64024712882458,0.02627636200273157,8.0,137.0,-94.16058394160584,0.0690876117276221,4,57.0,-92.98245614035088,0.08051529790660225,4,70.0,-94.28571428571428,0.05649717514124294,0,0.0,0.0,0.0,BRAZIL
DUNKERQUE,103888.0,857076.0,-87.87878787878788,0.02476501165891888,8.0,78.0,-89.74358974358975,0.0690876117276221,4,33.0,-87.87878787878788,0.08051529790660225,4,33.0,-87.87878787878788,0.05649717514124294,0,0.0,0.0,0.0,FRANCE
ZHONGSHAN,99776.0,593003.34,-83.1744623900432,0.02378478556984724,26.0,157.0,-83.43949044585987,0.2245347381147718,11,40.0,-72.5,0.22141706924315618,13,79.0,-83.54430379746836,0.18361581920903955,0,0.0,0.0,0.0,CHINA
PUERTO MOIN,93455.76000000001,2938121.31,-96.81920008946125,0.02227815518628836,18.0,362.25,-95.03105590062113,0.15544712638714972,6,60.0,-90.0,0.12077294685990338,9,171.0,-94.73684210526315,0.1271186440677966,0,1.0,-100.0,0.0,COSTA RICA
MERSIN,89879.84,3382856.79,-97.34307877691742,0.021425720829179148,4.0,225.25,-98.22419533851277,0.03454380586381105,3,57.0,-94.73684210526315,0.06038647342995169,4,173.0,-97.6878612716763,0.05649717514124294,0,0.0,0.0,0.0,TURKEY
