hs_code,hs_description,direction,q4_value,ytd_value,yoy_change_pct,share_of_total,ytd_value_teu,yoy_change_pct_teu,share_of_total_teu,ytd_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,ytd_value_container,yoy_change_pct_container,share_of_total_container,ytd_value_vrac,yoy_change_pct_vrac,share_of_total_vrac
1704,"Sugar confectionery (including white chocolate), not containing cocoa",import,512461.72000000003,512461.72000000003,-97.64716626673751,0.12722167304360033,38.0,-97.70773638968481,0.3333187140914872,15,-95.0,0.30605998775760046,20,-97.67441860465117,0.2864508736751647,0,0.0,0.0
1901,"Malt extract; flour/groats/meal/starch/malt extract products, no cocoa (or less than 40% by weight) and food preparations of goods of headings 04.01 to 04.04, no cocoa (or less than 5% by weight), wei",import,204369.03,204369.03,41.5766244113662,0.05073582845348478,24.25,0.0,0.21270996886101487,12,50.0,0.2448479902060804,12,50.0,0.17187052420509882,0,0.0,0.0
1902,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",import,27790.0,27790.0,73.36244541484716,0.006899032953879274,2.0,0.0,0.017543090215341433,1,0.0,0.020403999183840033,1,0.0,0.014322543683758236,0,0.0,0.0
1904,Prepared foods obtained by swelling or roasting cereals or cereal products (e.g. corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (not flou,import,59690.0,59690.0,,0.014818397877547818,8.0,,0.07017236086136573,2,,0.040807998367680065,4,,0.057290174735032943,0,,0.0
1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",import,1130201.67,1130201.67,42.7463372594082,0.280579293481806,137.0,0.0,1.2017016797508882,29,0.0,0.591715976331361,68,0.0,0.97393297049556,0,0.0,0.0
2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,import,158390.41999999998,158390.41999999998,-95.35909282263532,0.03932136477721406,7.0,-96.74418604651163,0.061400815753695014,2,-90.47619047619048,0.040807998367680065,7,-94.81481481481481,0.10025780578630765,0,0.0,0.0
2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",import,96100.0,96100.0,-92.26939195978485,0.023857397152493638,5.0,-92.0,0.043857725538353584,2,-92.85714285714286,0.040807998367680065,4,-92.85714285714286,0.057290174735032943,0,0.0,0.0
2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",import,237241.4,237241.4,-33.84641732370962,0.058896590018872055,17.0,-20.0,0.1491162668304022,8,-33.333333333333336,0.16323199347072026,10,-33.333333333333336,0.14322543683758238,0,0.0,0.0
2102,"Yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading no. 3002); prepared baking powders",import,53494.0,53494.0,-86.96791077371843,0.013280203988298591,4.0,-87.09677419354838,0.035086180430682866,2,-91.66666666666667,0.040807998367680065,2,-87.5,0.028645087367516472,1,0.0,0.06489292667099286
2103,"Sauces and preparations therefor; mixed condiments and mixed seasonings, mustard flour and meal and prepared mustard",import,55245.9,55245.9,-91.2616056799563,0.01371512359362069,5.0,-92.85714285714286,0.043857725538353584,3,-88.88888888888889,0.0612119975515201,3,-88.88888888888889,0.042967631051274706,0,0.0,0.0
2104,Soups and broths and preparations therefor; homogenised composite food preparations,import,44940.0,44940.0,-96.48985647801088,0.011156622560177567,4.0,-96.07843137254902,0.035086180430682866,2,-96.29629629629629,0.040807998367680065,2,-96.36363636363636,0.028645087367516472,0,0.0,0.0
