Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg
GIBRALTAR,87428.58,0.0,0.0
POINTE A PITRE,82503.0,310976.0,-73.46965682239144
OSLO,81761.4,175734.2,-53.47439485313616
PORT OF SINES,80523.9,49381.0,63.06656406310118
BURGAS,73499.03,0.0,0.0
FREDERICIA,70407.0,85219.9,-17.381972989876772
KOBE,70123.0,47252.0,48.40218403453822
NANCHANG,62649.96,0.0,0.0
TEMA,59728.0,0.0,0.0
COPENHAGEN,59405.0,111567.3,-46.754111643823954
JEDDAH,58944.0,28500.0,106.82105263157895
LISBOA,58160.0,0.0,0.0
MANZANILLO - MX,57323.7,1097006.02,-94.77453186628821
BANJUL,56000.0,0.0,0.0
TALLINN,54080.0,108160.0,-50.0
VANCOUVER,51172.89,322055.19,-84.11052155377467
XIAOCHAN BEACH,51033.0,0.0,0.0
SALVADOR,50605.92,100609.35,-49.70057951870279
FELIXSTOWE,49540.0,51480.0,-3.7684537684537687
RIJEKA,49194.14,13958.98,252.41930284304445
NASSAU,48335.0,22000.0,119.70454545454545
BARI,46541.0,0.0,0.0
HEFEI,44600.0,0.0,0.0
HELSINKI,43376.490000000005,70868.7,-38.79316256683133
PANAMA CITY - AIR,41538.1,15698.13,164.60540204470215
LONG BEACH - CA,41465.0,40139.69,3.301744482829831
CONSTANTA,40322.09,245276.0,-83.56052365498459
SONGKHLA,40250.4,94099.0,-57.22547529729327
MALAGA,35192.33,0.0,0.0
ATLANTA - GA,34730.0,0.0,0.0
YUEYANG,32718.6,7399.0,342.2030004054602
CAPE TOWN,31085.0,8019.0,287.64185060481356
ZHAPU,29152.0,354582.60000000003,-91.77850238562185
TAIPEI,28437.59,0.0,0.0
YUNFU,27000.0,0.0,0.0
TRIESTE,26660.0,0.0,0.0
CAP-HAITIEN,26400.0,0.0,0.0
PORT ELIZABETH,26400.0,68000.0,-61.1764705882353
SALERNO,26080.0,23199.989999999998,12.413841557690336
BELFAST,26040.0,8000.0,225.5
PORT NEWARK ELIZABETH - NJ,25945.74,336395.2,-92.28712538109937
MONTOIR DE BRETAGNE,25650.0,172374.0,-85.1195655957395
SYDNEY,24630.0,0.0,0.0
WYZHOU,24500.0,25000.0,-2.0
TAKORADI,24077.0,21908.0,9.900492970604345
FOSHAN,23820.2,0.0,0.0
DAFENG,23781.0,21672.0,9.731450719822812
LONGMEN,22337.0,0.0,0.0
MELBOURNE,22264.0,5262.0,323.10908399847966
LIMASSOL,21565.0,43925.0,-50.9049516220831
BANGKOK,21267.1,69539.81999999999,-69.41737841714287
MOMBASA,19352.9,33368.5,-42.00248737581851
LAFITO,16550.0,0.0,0.0
CORK,14792.0,0.0,0.0
LELIU,13726.9,0.0,0.0
AQABA,11800.0,57397.0,-79.44143422130077
ZHUHAI,9812.85,9771.02,0.4281026955220635
CSX RAMP - NC,9705.25,0.0,0.0
WUHU,9321.18,63621.4,-85.3489863473611
TUNIS,9162.3,73368.0,-87.5118580307491
ASUNCION,7860.46,58130.0,-86.47779115774988
GRANGEMOUTH,7719.37,73813.9,-89.54211876082961
SHIMIZU,7605.0,2912.0,161.16071428571428
VILLA NUEVA,7139.0,0.0,0.0
PROVIDENCIALES - TC,5115.0,11817.2,-56.71563483735572
CASTRIES,4316.0,0.0,0.0
CIVITAVECCHIA,4290.0,0.0,0.0
HAIFA,0.0,209287.0,-100.0
