country,hs_code,hs_desc,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac,anomaly_score,is_anomaly
FRANCE,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless ne",19624.0,19624.0,253.0,7656.521739130435,0.0004796072729608,2.0,2.0,0.0,200.0,0.0019709093775868,1,1,3.0,-66.66666666666667,0.0023029800561927,1,1,0.0,100.0,0.001701895912046,0,0,3.0,-100.0,0.0,-0.5653945112310279,-1
PERU,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",12257850.16,12257850.16,3801270.04,222.46722887385292,0.2995798047085248,458.0,458.0,141.0,224.82269503546095,0.4513382474673814,78,78,27.0,188.88888888888889,0.1796324443830316,458,458,141.0,224.82269503546095,0.7794683277170769,0,0,0.0,0.0,0.0,-0.565282278238648,-1
CHINA,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars; side-cars",12769939.33,12769939.33,4287812.46,197.81944637569345,0.3120951782478886,1486.0,1486.0,511.25,190.6601466992665,1.4643856675470062,452,452,141.0,220.5673758865248,1.0409469853991065,706,706,235.0,200.4255319148936,1.2015385139044896,21,21,17.0,23.529411764705884,0.1682827149611347,-0.5641901969141074,-1
INDIA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",13460891.51,13460891.51,6063391.69,122.0026710825934,0.3289819337919236,486.0,486.0,232.0,109.48275862068964,0.4789309787535969,81,81,37.0,118.91891891891892,0.1865413845516098,484,484,220.0,120.0,0.8237176214302733,0,0,0.0,0.0,0.0,-0.5637180352905252,-1
USA,4418,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes",29043.98,29043.98,427.15,6699.480276249561,0.0007098300063049,4.0,4.0,0.0,400.0,0.0039418187551736,1,1,2.0,-50.0,0.0023029800561927,2,2,0.0,200.0,0.003403791824092,0,0,2.0,-100.0,0.0,-0.5578283919455898,-1
DOMINICAN REPUBLIC,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents",10682074.160000002,10682074.160000002,65988806.5,-83.81229374106046,0.2610681032125441,155.0,155.0,166.0,-6.626506024096385,0.1527454767629784,39,39,45.0,-13.333333333333334,0.0898162221915158,79,79,83.0,-4.819277108433735,0.1344497770516355,4,4,11.0,-63.63636363636363,0.0320538504687875,-0.5570693113942425,-1
BRAZIL,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",12615321.04,12615321.04,9028814.21,39.72289989119181,0.3083163331390032,496.0,496.0,375.0,32.266666666666666,0.488785525641531,77,77,66.0,16.666666666666668,0.1773294643268389,474,474,340.0,39.41176470588236,0.8066986623098131,0,0,0.0,0.0,0.0,-0.5556010519800557,-1
USA,9401,"Seats (not those of heading no. 9402), whether or not convertible into beds and parts thereof",8702.08,8702.08,120.66,7112.066965025692,0.000212677377593,2.0,2.0,0.0,200.0,0.0019709093775868,1,1,1.0,0.0,0.0023029800561927,1,1,0.0,100.0,0.001701895912046,0,0,1.0,-100.0,0.0,-0.5550275684954252,-1
CHINA,7326,"Iron or steel; articles, n.e.c. in chapter 73",11248647.849999998,11248647.849999998,3684107.93,205.328944312443,0.2749150692944975,526.0,526.0,201.0,161.6915422885572,0.5183491663053332,82,82,36.0,127.77777777777776,0.1888443646078025,414,414,134.0,208.955223880597,0.704584907587052,0,0,0.0,0.0,0.0,-0.5540590035645143,-1
CHINA,7312,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated",6546887.069999999,6546887.069999999,674972.0,869.9494304948944,0.1600048233808208,235.0,235.0,31.0,658.0645161290323,0.2315818518664512,35,35,11.0,218.1818181818182,0.0806043019667449,234,234,25.0,836.0,0.3982436434187685,0,0,0.0,0.0,0.0,-0.5531986253720907,-1
CHINA,703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",12638927.98,12638927.98,10654657.0,18.62350876241253,0.3088932827984177,887.0,887.0,797.75,11.187715449702289,0.874098308959754,223,223,184.0,21.195652173913043,0.5135645525309751,436,436,368.0,18.47826086956522,0.7420266176520643,0,0,0.0,0.0,0.0,-0.5522177867047884,-1
INDONESIA,1516,"Animal or vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",11751612.45,11751612.45,14601366.0,-19.51703388573371,0.2872074398714357,24.0,24.0,10.75,123.25581395348836,0.0236509125310418,20,20,23.0,-13.043478260869565,0.0460596011238542,12,12,7.0,71.42857142857143,0.0204227509445522,17,17,19.0,-10.526315789473683,0.1362288644923471,-0.5471867441518096,-1
USA,3901,"Polymers of ethylene, in primary forms",11320812.73,11320812.73,10992382.85,2.987795134882869,0.2766787668740096,906.0,906.0,898.5,0.8347245409015025,0.8928219480468288,180,180,167.0,7.7844311377245505,0.4145364101146884,457,457,443.0,3.160270880361174,0.7777664318050308,0,0,0.0,0.0,0.0,-0.545102152254724,-1
CHINA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,11039341.0,11039341.0,10161931.3,8.634280965863242,0.2697996449395993,568.0,568.0,553.5,2.6196928635953025,0.5597382632346565,166,166,167.0,-0.5988023952095808,0.3822946893279904,494,494,447.0,10.51454138702461,0.8407365805507335,0,0,0.0,0.0,0.0,-0.542402902475956,-1
INDIA,2203,Beer made from malt,10809261.84,10809261.84,8336749.27,29.657993660639388,0.2641765488076834,825.0,825.0,651.5,26.630851880276285,0.8130001182545626,154,154,69.0,123.18840579710144,0.3546589286536779,398,398,303.0,31.353135313531357,0.6773545729943157,0,0,0.0,0.0,0.0,-0.5423668966942438,-1
SPAIN,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,216985.0,216985.0,4462.32,4762.605102278636,0.0053030770548005,10.0,10.0,1.0,900.0,0.009854546887934,2,2,1.0,100.0,0.0046059601123854,10,10,1.0,900.0,0.0170189591204601,0,0,0.0,0.0,0.0,-0.541020519938015,-1
