hs_chapter,ytd_value,ytd_value_teu,ytd_value_shipment,ytd_value_container,ytd_value_vrac,prev_year_value,prev_year_value_teu,prev_year_value_shipment,prev_year_value_container,prev_year_value_vrac,yoy_change_pct,share_of_total,yoy_change_pct_teu,share_of_total_teu,yoy_change_pct_shipment,share_of_total_shipment,yoy_change_pct_container,share_of_total_container,yoy_change_pct_vrac,share_of_total_vrac
40,12005670.48,1680.5,456,842,19,6549069.91,915.75,287.0,461.0,15.0,83.31871006092223,0.29341657556966755,83.51078351078351,1.6560566045173244,58.88501742160279,1.0501589056238774,82.646420824295,1.4329963579427483,26.666666666666668,0.15225578972674092
64,10856448.11,1286.5,635,637,7,6752204.640000001,805.25,401.0,401.0,17.0,60.78375417839822,0.2653297733427371,59.764048432163925,1.267787457132721,58.35411471321696,1.462392335682373,58.85286783042394,1.0841076959733142,-58.8235294117647,0.056094238320378235
32,10141982.19,496.0,161,456,23,14371599.200000001,684.75,155.0,627.0,32.0,-29.43038524202652,0.24786834593167656,-27.56480467323841,0.488785525641531,3.870967741935484,0.37077978904702685,-27.272727272727273,0.7760645358929847,-28.125,0.18430964019552848
03,10059354.59,774.75,228,370,0,7743588.65,592.0,175.0,285.0,0.0,29.90559086580612,0.24584894122788029,30.86993243243243,0.7634810201426938,30.285714285714285,0.5250794528119387,29.82456140350877,0.6297014874570271,0.0,0.0
29,9120269.31,650.0,171,357,5,8554328.38,613.5,162.0,357.0,12.0,6.615842937747962,0.22289785428238196,5.949470252648736,0.640545547715716,5.555555555555555,0.393809589608954,0.0,0.6075768406004288,-58.333333333333336,0.040067313085984456
96,8806555.690000001,1460.0,304,728,9,6282289.03,1076.75,227.0,536.0,13.0,40.180683313769805,0.21523074595691977,35.59322033898305,1.4387638456383776,33.92070484581498,0.7001059370825848,35.82089552238806,1.238980223969502,-30.76923076923077,0.07212116355477202
20,6156191.1,395.0,103,261,0,5752688.6899999995,396.0,95.0,251.0,1.0,7.014153411454639,0.15045627931597744,-0.25252525252525254,0.3892546020733967,8.421052631578947,0.23720694578784948,3.9840637450199203,0.44419483304401103,-100.0,0.0
94,5681684.51,767.25,251,391,1,2080006.38,338.75,128.0,170.0,7.0,173.15707127782946,0.13885941773669475,126.49446494464945,0.7560901099767433,96.09375,0.578047994104371,130.0,0.6654413016099935,-85.71428571428571,0.008013462617196892
30,5093543.49,802.25,885,436,541,4127882.1399999997,667.25,1004.0,350.0,737.0,23.393626979863352,0.12448534972209009,20.23229674035219,0.7905810240845126,-11.852589641434262,2.0381373497305515,24.571428571428573,0.7420266176520643,-26.594301221166894,4.335283275903518
67,3986612.65,307.25,152,153,1,2117488.06,162.5,80.0,80.0,1.0,88.27084437019211,0.09743214540448704,89.07692307692308,0.302780953131775,90.0,0.3500529685412924,91.25,0.260390074543041,0.0,0.008013462617196892
61,2192059.13,202.0,89,102,1,1275895.2,114.25,58.0,56.0,4.0,71.80557854594954,0.05357355796515454,76.80525164113786,0.19906184713626868,53.44827586206897,0.2049652250011515,82.14285714285714,0.17359338302869395,-75.0,0.008013462617196892
82,2175153.5,220.0,87,117,5,1539795.22,189.5,60.0,92.0,6.0,41.26251801197305,0.05316038719966408,16.094986807387862,0.21680003153455005,45.0,0.20035926488876607,27.17391304347826,0.19912182170938425,-16.666666666666668,0.040067313085984456
68,1949975.67,134.5,37,72,1,1671939.1,103.25,43.0,58.0,5.0,16.629587166183256,0.047657078751970554,30.26634382566586,0.13254365564271356,-13.953488372093023,0.08521026207913039,24.137931034482758,0.12253650566731339,-80.0,0.008013462617196892
62,1609285.8099999998,162.0,86,81,5,395963.67,53.25,43.0,26.0,21.0,306.4225917493895,0.03933067563945488,204.22535211267606,0.1596436595845323,100.0,0.19805628483257334,211.53846153846155,0.13785356887572756,-76.19047619047619,0.040067313085984456
76,1562834.95,139.0,39,72,0,664579.76,59.0,23.0,31.0,1.0,135.16138228464857,0.03819542440161931,135.59322033898306,0.1369782017422839,69.56521739130434,0.08981622219151582,132.25806451612902,0.12253650566731339,-100.0,0.0
35,1539352.67,182.0,73,96,2,1130905.45,139.5,64.0,73.0,5.0,36.11683187131161,0.037621521411724146,30.46594982078853,0.1793527533604005,14.0625,0.16811754410206808,31.506849315068493,0.16338200755641785,-60.0,0.016026925234393783
24,1163185.62,137.0,34,71,1,314652.83,42.25,10.0,20.0,2.0,269.67270245114275,0.028428061718072464,224.2603550295858,0.13500729236469708,240.0,0.07830132191055225,255.0,0.12083460975526737,-50.0,0.008013462617196892
36,1151569.12,136.0,43,63,0,1200463.74,157.75,41.0,69.0,0.0,-4.0729776644482305,0.02814415640384756,-13.787638668779715,0.13402183767590367,4.878048780487805,0.09902814241628667,-8.695652173913043,0.10721944245889921,0.0,0.0
42,1139432.3599999999,144.0,69,72,4,590428.93,74.0,39.0,38.0,2.0,92.98382956946229,0.02784753602236671,94.5945945945946,0.14190547518625093,76.92307692307692,0.15890562387729723,89.47368421052632,0.12253650566731339,100.0,0.032053850468787566
